layers,full_ensembling_train_accs,full_merging_train_accs,full_merging_REPAIR_train_accs,full_ensembling_test_accs,full_merging_test_accs,full_merging_REPAIR_test_accs,full_ensembling_train_losses,full_merging_train_losses,full_merging_REPAIR_train_losses,full_ensembling_test_losses,full_merging_test_losses,full_merging_REPAIR_test_losses,default_num_params,only_ensemble_i_train_accs,only_ensemble_i_train_losses,only_ensemble_i_test_accs,only_ensemble_i_test_losses,only_ensemble_i_REPAIR_train_accs,only_ensemble_i_REPAIR_train_losses,only_ensemble_i_REPAIR_test_accs,only_ensemble_i_REPAIR_test_losses,only_ensemble_i_num_params,only_merge_i_train_accs,only_merge_i_train_losses,only_merge_i_test_accs,only_merge_i_test_losses,only_merge_i_REPAIR_train_accs,only_merge_i_REPAIR_train_losses,only_merge_i_REPAIR_test_accs,only_merge_i_REPAIR_test_losses,only_merge_i_num_params
1,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.22442,2.8239,0.2195,2.837259,0.95666,0.13457176,0.896,0.42123038,9460820.0,0.1,2.425015,0.1,2.4252932,1.0,0.041726675,0.9381,0.2272288,37568660.0
2,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.23702,2.8358119,0.2329,2.8413386,0.9614,0.11986502,0.8993,0.41133624,9532820.0,0.10004,2.3786345,0.1,2.3804116,0.99998,0.04583576,0.9375,0.23383415,37422932.0
3,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.12758,3.152244,0.1241,3.1607196,0.96348,0.10980984,0.899,0.40399465,9643732.0,0.1,2.3827615,0.1,2.3840895,1.0,0.04928367,0.9346,0.23858136,37201428.0
4,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.16948,3.0098617,0.1678,3.0142677,0.97052,0.08936606,0.9057,0.38319054,9864916.0,0.10006,2.358034,0.1001,2.3591468,0.99978,0.055605482,0.9336,0.2478611,36759060.0
5,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.51104,1.5329827,0.4994,1.5902581,0.9713,0.085134804,0.9044,0.38526955,10307924.0,0.1,2.5172627,0.1,2.5177476,0.9997,0.056038085,0.9329,0.24559021,35873684.0
6,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.26332,2.6281483,0.2581,2.649095,0.97166,0.08332245,0.9052,0.38928577,11192660.0,0.10316,2.2591329,0.1028,2.2631688,0.99964,0.053856146,0.9339,0.2415678,34104212.0
7,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.3096,1.960315,0.2978,2.0022788,0.9657,0.10383373,0.8986,0.39684755,12963412.0,0.1,2.380212,0.1,2.3811197,0.99998,0.043600075,0.9376,0.2267504,30563988.0
8,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.29844,2.3172603,0.2936,2.3428288,0.96142,0.11855223,0.9002,0.41186106,14143060.0,0.1,2.3701625,0.1,2.3712564,1.0,0.038402054,0.9404,0.22035606,28204692.0
9,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.3384,1.8042684,0.3346,1.8208191,0.95618,0.1353196,0.8963,0.41715223,14143060.0,0.1,2.9891944,0.1,2.9902766,1.0,0.034899153,0.9406,0.21699488,28204692.0
10,1.0,0.36544,0.95414,0.9412,0.3573,0.8951,0.00044568014,2.1349092,0.14406538,0.22982597,2.1612916,0.431736,9421908.0,0.32344,2.0259879,0.3109,2.0503802,0.95532,0.18175247,0.8942,0.35581887,11788884.0,0.1,2.74156,0.1,2.7424788,1.0,0.00067715277,0.9416,0.22261745,32918164.0
