layers,full_ensembling_train_accs,full_merging_train_accs,full_merging_REPAIR_train_accs,full_ensembling_test_accs,full_merging_test_accs,full_merging_REPAIR_test_accs,full_ensembling_train_losses,full_merging_train_losses,full_merging_REPAIR_train_losses,full_ensembling_test_losses,full_merging_test_losses,full_merging_REPAIR_test_losses,default_num_params,only_ensemble_i_train_accs,only_ensemble_i_train_losses,only_ensemble_i_test_accs,only_ensemble_i_test_losses,only_ensemble_i_REPAIR_train_accs,only_ensemble_i_REPAIR_train_losses,only_ensemble_i_REPAIR_test_accs,only_ensemble_i_REPAIR_test_losses,only_ensemble_i_num_params,only_merge_i_train_accs,only_merge_i_train_losses,only_merge_i_test_accs,only_merge_i_test_losses,only_merge_i_REPAIR_train_accs,only_merge_i_REPAIR_train_losses,only_merge_i_REPAIR_test_accs,only_merge_i_REPAIR_test_losses,only_merge_i_num_params
1,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.6650422,1.1115391,0.6454748,1.1701207,0.98598087,0.057554033,0.9606254,0.18123136,14775639.0,0.18922424,2.2365327,0.1958743,2.2297173,0.99990445,0.112836674,0.9696143,0.20502995,58815130.0
2,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.41093683,1.8153273,0.38429624,1.8637959,0.98595357,0.058149174,0.9598571,0.18559411,14847639.0,0.19351052,2.2200444,0.19714198,2.2163217,0.9998908,0.11312255,0.97026736,0.203772,58669400.0
3,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.44084525,1.6967418,0.39244008,1.7844446,0.98700464,0.052349295,0.9610095,0.17881517,14958551.0,0.28784963,2.162598,0.25979564,2.1677332,0.99990445,0.11359265,0.96869236,0.20745696,58447896.0
4,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.6366354,1.2258914,0.5974954,1.3140101,0.98854715,0.04674171,0.9620467,0.17494601,15179735.0,0.19046643,2.2107043,0.19633529,2.20761,0.99984986,0.11452861,0.9687308,0.20653878,58005530.0
5,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.7882523,0.7831544,0.78657037,0.8147556,0.99059474,0.039203633,0.9625845,0.17412463,15622743.0,0.1892106,2.244349,0.1958743,2.2364264,0.99965876,0.116778284,0.9680778,0.20895901,57120150.0
6,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.28471,2.096463,0.2853411,2.100215,0.99109983,0.038050927,0.9636601,0.17046607,15917655.0,0.1892379,2.2196772,0.1958743,2.2138577,0.999181,0.1181313,0.9685387,0.21024495,56530330.0
7,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.70905167,1.0314959,0.6861555,1.1110424,0.9895573,0.043774873,0.96127844,0.18360795,16507479.0,0.19301909,2.2029762,0.1969115,2.2006648,0.9992083,0.11469404,0.9698064,0.2036178,55350680.0
8,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.79802614,0.87371945,0.77815765,0.9561199,0.9880967,0.048382636,0.9603181,0.18037853,18278232.0,0.1892106,2.246456,0.1958743,2.2388856,0.9995495,0.11223986,0.9698448,0.20163707,51810456.0
9,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.523909,1.5479017,0.46942225,1.6379256,0.98656785,0.05404967,0.9603565,0.18180723,19457880.0,0.21887328,2.1879997,0.21462047,2.188855,0.9994949,0.11114421,0.96934545,0.20160544,49451160.0
10,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.7145938,1.1285087,0.68362015,1.2344859,0.98648596,0.05501495,0.9611248,0.18016267,19457880.0,0.1894017,2.2040794,0.1958743,2.2001143,0.9998635,0.1097057,0.9698448,0.2002306,49451160.0
11,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.7872149,0.9572036,0.7594499,1.0348485,0.9857898,0.05837754,0.9600876,0.18839143,19457880.0,0.14449131,2.2786064,0.15938076,2.2752006,0.9998635,0.09897833,0.9695759,0.19177048,49451160.0
12,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.63673097,1.6564518,0.593846,1.7329259,0.9854485,0.057541862,0.9603565,0.17461354,19457880.0,0.09418895,2.275516,0.09169484,2.277672,0.99979526,0.079198435,0.96992165,0.17191225,49451160.0
13,0.99990445,0.741267,0.9852847,0.97015214,0.7196143,0.95993394,0.0008836877,0.90239847,0.060087968,0.14133136,0.98971164,0.18656564,14736727.0,0.74960756,1.0447716,0.7322142,1.1405102,0.9855031,0.11954194,0.9595498,0.1982824,17103704.0,0.22505699,2.2241645,0.21942225,2.2118409,0.99990445,0.003583709,0.97003686,0.12545142,54164630.0
