alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses,partial_merging_1.4_train_accs,partial_merging_1.4_train_losses,partial_merging_1.4_test_accs,partial_merging_1.4_test_losses,partial_merging_REPAIR_1.4_train_accs,partial_merging_REPAIR_1.4_train_losses,partial_merging_REPAIR_1.4_test_accs,partial_merging_REPAIR_1.4_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.6_train_accs,partial_merging_1.6_train_losses,partial_merging_1.6_test_accs,partial_merging_1.6_test_losses,partial_merging_REPAIR_1.6_train_accs,partial_merging_REPAIR_1.6_train_losses,partial_merging_REPAIR_1.6_test_accs,partial_merging_REPAIR_1.6_test_losses,partial_merging_1.7_train_accs,partial_merging_1.7_train_losses,partial_merging_1.7_test_accs,partial_merging_1.7_test_losses,partial_merging_REPAIR_1.7_train_accs,partial_merging_REPAIR_1.7_train_losses,partial_merging_REPAIR_1.7_test_accs,partial_merging_REPAIR_1.7_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_1.9_train_accs,partial_merging_1.9_train_losses,partial_merging_1.9_test_accs,partial_merging_1.9_test_losses,partial_merging_REPAIR_1.9_train_accs,partial_merging_REPAIR_1.9_train_losses,partial_merging_REPAIR_1.9_test_accs,partial_merging_REPAIR_1.9_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.99986,0.0014634158,0.9212,0.38296646,0.99986,0.0014634281,0.9212,0.3829718,0.99986,0.0014634281,0.9212,0.3829718,0.99988,0.0014365412,0.922,0.38261005,0.99984,0.0014631248,0.9213,0.3829875,0.99988,0.0014383452,0.9219,0.38280222,0.99986,0.0014635676,0.9211,0.3829932,0.99988,0.0014451714,0.9218,0.3826223,0.99986,0.0014635677,0.9211,0.3829932,0.99988,0.0014402351,0.9218,0.3826313,0.99986,0.001463739,0.9212,0.382998,0.99988,0.001439458,0.9214,0.3827886,0.99986,0.0014631728,0.9214,0.3829806,0.99988,0.0014363251,0.9218,0.38259992,0.99986,0.0014634897,0.9213,0.38300195,0.99988,0.0014404883,0.9219,0.3826202,0.99986,0.0014635676,0.9211,0.3829932,0.99988,0.0014375879,0.9222,0.38265142,0.99986,0.0014635677,0.9211,0.3829932,0.99988,0.001442793,0.9218,0.38290465,0.99986,0.0014635677,0.9211,0.3829932,0.99988,0.0014444863,0.9221,0.38271618,0.99986,0.0014629948,0.9213,0.38297132,0.99988,0.0014422087,0.9218,0.38269752
0.05,0.99994,0.0010922912,0.924,0.36791158,0.97588,0.06948582,0.8923,0.47514108,0.99254,0.022690505,0.9086,0.42233786,0.99964,0.0022438604,0.9219,0.38621,0.99488,0.015612758,0.9105,0.41093725,0.9996,0.002269507,0.9196,0.3867025,0.9967,0.01084313,0.9133,0.4028134,0.99968,0.0021570418,0.9206,0.38550958,0.99798,0.0071711103,0.9179,0.39466998,0.9997,0.0020445844,0.9205,0.38422728,0.99878,0.004833784,0.9194,0.38439336,0.99972,0.0019561136,0.9224,0.38101715,0.9994,0.0031397084,0.9195,0.3809285,0.99978,0.0018117138,0.9217,0.38117242,0.99972,0.0023173292,0.9215,0.3797595,0.99972,0.0016912582,0.9217,0.37957254,0.9998,0.0020219982,0.9213,0.3797783,0.9998,0.0015942268,0.9226,0.3775972,0.99972,0.0017579687,0.9224,0.37508547,0.99988,0.0014620953,0.9236,0.3736444,0.99988,0.0014441223,0.9231,0.37271264,0.99986,0.0013298971,0.9239,0.3704174,0.99994,0.0010917735,0.9241,0.36793512,0.99996,0.0010740097,0.9247,0.36750633
0.1,0.99996,0.00083282264,0.9266,0.3547297,0.73626,0.97637236,0.7,1.2443738,0.90512,0.29777172,0.8415,0.6762328,0.99818,0.0063396087,0.9157,0.40366536,0.9367,0.19070788,0.8656,0.58235437,0.99824,0.0058825742,0.9171,0.40211907,0.95826,0.12461086,0.8811,0.5352566,0.99844,0.0051876735,0.917,0.39830646,0.97514,0.069768816,0.8945,0.4828364,0.99892,0.004452195,0.9199,0.39439088,0.98718,0.03678072,0.9039,0.4396587,0.9991,0.0038354355,0.9214,0.38623908,0.99484,0.014973827,0.912,0.40763512,0.9994,0.003224718,0.922,0.38666153,0.99804,0.0075814063,0.9179,0.39238852,0.99948,0.00270689,0.9216,0.38156676,0.9988,0.005247278,0.917,0.3909194,0.99962,0.002214989,0.9224,0.37653968,0.99932,0.00321483,0.9215,0.37549537,0.99968,0.0017561966,0.9237,0.36869252,0.9998,0.0017904883,0.9244,0.36730137,0.99982,0.0013557654,0.9248,0.36122864,0.99996,0.0008327783,0.9266,0.3547384,0.99998,0.00081533217,0.9272,0.35449153
0.15,1.0,0.00065156975,0.9284,0.34333104,0.3453,3.2992568,0.3371,3.3828793,0.6856,1.2128217,0.6542,1.4297824,0.9924,0.02192699,0.9081,0.44024655,0.79056,0.76684624,0.7469,1.0378634,0.99352,0.01835008,0.9106,0.4333656,0.85442,0.50781494,0.8073,0.83140033,0.99512,0.014910899,0.9103,0.42495644,0.91372,0.2776087,0.8532,0.64452434,0.99584,0.011744284,0.915,0.41598862,0.94714,0.15528692,0.8748,0.55071217,0.9972,0.009129173,0.917,0.40288854,0.97894,0.057695933,0.8984,0.457209,0.9981,0.0068951757,0.9184,0.39952165,0.99178,0.024815675,0.9076,0.41988498,0.99882,0.005154129,0.92,0.38992015,0.99494,0.0153845865,0.9114,0.41655406,0.99922,0.0035743036,0.9194,0.38128528,0.99824,0.006817993,0.9182,0.38280424,0.9995,0.002390211,0.9238,0.3668915,0.99954,0.0025801423,0.9228,0.3659311,0.99982,0.0014955576,0.9253,0.35584736,1.0,0.0006513827,0.9284,0.34334472,1.0,0.0006403167,0.9281,0.3430223
0.2,1.0,0.0005251222,0.9306,0.333649,0.21398,4.693737,0.2103,4.715691,0.39596,2.7395215,0.3904,2.8252754,0.97702,0.068665095,0.8942,0.50582206,0.56478,1.8038174,0.5454,1.9380202,0.98184,0.053778436,0.8998,0.48923323,0.6886,1.2018789,0.661,1.3941263,0.98604,0.04171224,0.9026,0.4700687,0.8236,0.6285227,0.7816,0.89581025,0.98894,0.03059541,0.9081,0.44876847,0.8832,0.38456395,0.8304,0.71993774,0.99224,0.022476824,0.911,0.43079227,0.9507,0.14689308,0.8768,0.5271304,0.99488,0.015368951,0.9139,0.42163572,0.9774,0.06366092,0.8972,0.4597486,0.99714,0.010408407,0.9171,0.4055539,0.98646,0.03875087,0.9031,0.45323962,0.99814,0.006264175,0.9171,0.3905657,0.99554,0.013965623,0.9146,0.39637324,0.99928,0.0035580518,0.9218,0.3691928,0.99922,0.0040453696,0.9194,0.36858898,0.99978,0.0017714015,0.9256,0.35372576,1.0,0.00052503846,0.9304,0.3336726,1.0,0.0005128372,0.9305,0.3335511
0.25,1.0,0.00043720103,0.9322,0.3256411,0.11272,5.028062,0.1136,5.0314283,0.22604,4.06849,0.2274,4.0959015,0.94796,0.17556165,0.8746,0.6117168,0.34328,3.0383253,0.3385,3.0859306,0.95758,0.13560525,0.8823,0.57887965,0.4855,2.1042986,0.4776,2.1907248,0.96796,0.10139749,0.8889,0.53779906,0.71436,1.0653073,0.6838,1.2378918,0.9766,0.0717368,0.8985,0.49801534,0.79998,0.70247555,0.7624,0.9554102,0.98276,0.050873466,0.9013,0.4707402,0.9117,0.278848,0.8506,0.61914593,0.98864,0.032452524,0.9084,0.45170745,0.95658,0.12834395,0.8813,0.51114666,0.99282,0.020625949,0.9143,0.42750612,0.97152,0.079549305,0.8909,0.49815884,0.9964,0.01102728,0.915,0.40276888,0.991,0.025919324,0.9094,0.41316512,0.99858,0.0054935548,0.9206,0.3737802,0.9986,0.006536927,0.9173,0.37408587,0.99968,0.0022265112,0.9241,0.35346135,1.0,0.00043719148,0.9322,0.32565168,1.0,0.0004269828,0.9319,0.32553
0.3,1.0,0.00037661713,0.9323,0.31927344,0.1,4.939816,0.1,4.9390116,0.14098,4.813201,0.1403,4.8211985,0.9043,0.37111673,0.8433,0.77908045,0.2027,4.0315475,0.2022,4.0413356,0.92274,0.28402382,0.8552,0.7131201,0.32388,2.9507287,0.3199,2.985474,0.93946,0.20830484,0.873,0.6331567,0.59808,1.522219,0.58,1.6293871,0.95638,0.14251825,0.8855,0.56439567,0.7084,1.064029,0.6828,1.2473238,0.9673,0.10016948,0.8932,0.52198654,0.867,0.4397023,0.8161,0.73033094,0.97916,0.06134499,0.9032,0.48745096,0.93148,0.2138631,0.8651,0.57342976,0.98676,0.03776401,0.9091,0.45560756,0.95456,0.13641098,0.8786,0.5480694,0.99338,0.018730141,0.9126,0.41808602,0.98488,0.04262731,0.9038,0.4320318,0.9973,0.008463223,0.9197,0.3802273,0.99714,0.010332156,0.9159,0.38146403,0.99948,0.0028809467,0.9238,0.35489666,1.0,0.000376491,0.9322,0.319293,1.0,0.00036804704,0.9321,0.31920302
0.35,1.0,0.00033582386,0.9324,0.3145218,0.1,4.5193343,0.1,4.518262,0.10552,5.109242,0.1059,5.107506,0.84838,0.6632745,0.7977,1.0229714,0.13796,4.630605,0.1344,4.6270175,0.87716,0.5010192,0.8221,0.89576036,0.23054,3.5389383,0.2287,3.5550272,0.90494,0.36531126,0.8493,0.761297,0.4947,1.9633408,0.4827,2.02761,0.93348,0.2413308,0.8692,0.6494952,0.62168,1.4223855,0.5984,1.5583596,0.9494,0.16911918,0.8816,0.58679867,0.82124,0.61647415,0.781,0.86078143,0.96718,0.10224165,0.8971,0.5275292,0.90486,0.31145367,0.8448,0.6442608,0.97866,0.061881505,0.9028,0.48649627,0.93452,0.20202947,0.8651,0.6000991,0.98964,0.029184263,0.9076,0.43497026,0.97804,0.06213317,0.8989,0.4516061,0.9957,0.012510321,0.9183,0.3876033,0.99476,0.01555874,0.914,0.39078552,0.9994,0.0037166565,0.9234,0.35689798,1.0,0.000335765,0.9323,0.31454238,1.0,0.00032941598,0.9326,0.3142243
0.4,1.0,0.0003098764,0.932,0.31138057,0.1,4.05393,0.1,4.0520735,0.1002,5.1194777,0.1001,5.1118045,0.78938,1.0094943,0.7489,1.3217565,0.11248,4.8975368,0.1107,4.8873706,0.8311,0.7556217,0.7884,1.1110815,0.18422,3.864858,0.1815,3.8717296,0.87134,0.5437531,0.8242,0.9041767,0.40588,2.3788218,0.3981,2.419322,0.9084,0.3548598,0.8529,0.73998547,0.5513,1.7468814,0.5356,1.8531284,0.93154,0.24709329,0.8711,0.6548899,0.77398,0.796264,0.7414,1.0083541,0.95498,0.14714764,0.8895,0.5682404,0.87874,0.41281322,0.8274,0.7219526,0.97046,0.08884956,0.8985,0.5171865,0.91668,0.26607773,0.8542,0.64878273,0.98562,0.041042894,0.9058,0.45065066,0.97164,0.08173216,0.8929,0.47047526,0.99396,0.01694166,0.9172,0.39552507,0.99246,0.02174864,0.9111,0.40153733,0.99886,0.0046478244,0.921,0.36007762,1.0,0.00030987678,0.9319,0.3113955,1.0,0.00030295583,0.9323,0.31109095
0.45000002,1.0,0.00029568133,0.9325,0.3098609,0.1,3.7034693,0.1,3.701658,0.1,4.9933443,0.1,4.982405,0.7435,1.3030436,0.7113,1.5803992,0.10504,4.9505873,0.1049,4.9367766,0.7947,0.97620445,0.756,1.3060584,0.16188,4.0061874,0.1584,4.006153,0.84594,0.6928741,0.8047,1.02728,0.34332,2.7370245,0.3348,2.7666693,0.89062,0.4495325,0.8399,0.8174028,0.5016,2.0152645,0.4896,2.102791,0.91678,0.31378898,0.8618,0.7107564,0.73892,0.9561253,0.7056,1.1533167,0.94682,0.18429568,0.8827,0.60074407,0.8561,0.50446695,0.8095,0.7987852,0.96436,0.11142172,0.893,0.5404639,0.90396,0.3163997,0.8469,0.6852948,0.98218,0.05120128,0.9048,0.46061635,0.96588,0.09784791,0.888,0.48647058,0.99242,0.02065865,0.9147,0.40155274,0.99032,0.027806494,0.9094,0.41213715,0.99842,0.0054560956,0.9197,0.36289623,1.0,0.0002955498,0.9325,0.30989775,1.0,0.00028878357,0.9323,0.3095286
