alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses
0.0,1.0,0.0007619736,0.941,0.22649142,1.0,0.00076198194,0.941,0.22648911,1.0,0.00076198194,0.941,0.22648911,1.0,0.0007680521,0.9407,0.22599305,1.0,0.0007621212,0.941,0.22648218,1.0,0.0007659979,0.9407,0.2260078,1.0,0.00076199276,0.941,0.22648758,1.0,0.0007655476,0.9408,0.22607552,1.0,0.0007619919,0.941,0.22648758,1.0,0.0007635905,0.9407,0.22607633
0.05,1.0,0.0006981673,0.9424,0.21937232,0.99384,0.02181942,0.9141,0.30898616,0.999,0.0051799365,0.9279,0.2730234,0.99998,0.00089756266,0.9393,0.22700912,0.99894,0.0051423972,0.9282,0.27314565,0.99998,0.00089952006,0.9396,0.22709735,0.99892,0.005143537,0.9283,0.27305967,0.99998,0.0008944579,0.9394,0.22715236,0.999,0.0051893657,0.9277,0.27379793,0.99998,0.0008922888,0.9391,0.22705303
0.1,1.0,0.0006462814,0.9439,0.21299878,0.82484,0.53066933,0.7737,0.77708775,0.95292,0.13612919,0.8769,0.4682484,0.99988,0.0013562718,0.9374,0.23275664,0.95258,0.13571377,0.8766,0.46914068,0.99992,0.001367373,0.9368,0.23305354,0.95304,0.13539526,0.8774,0.46695235,0.99992,0.0013507117,0.937,0.23302174,0.95306,0.13576895,0.8766,0.46901435,0.9999,0.00135557,0.9366,0.23285808
0.15,1.0,0.0006042013,0.9452,0.207382,0.4503,1.8792381,0.437,1.936675,0.78378,0.72876716,0.7486,0.9644036,0.99972,0.002826055,0.9341,0.24580361,0.78396,0.7262113,0.7469,0.96414816,0.99964,0.002855687,0.9333,0.2458262,0.78682,0.7193287,0.7497,0.9549626,0.99966,0.0028132852,0.9342,0.24589175,0.78638,0.7157648,0.7507,0.953639,0.9997,0.002797584,0.9347,0.24524514
0.2,1.0,0.00057027565,0.9456,0.20253511,0.23692,2.6082282,0.2307,2.6170158,0.54366,1.7580687,0.5334,1.8401791,0.99806,0.0077454634,0.9289,0.26766855,0.54248,1.7528424,0.5328,1.8370723,0.99826,0.007750746,0.9284,0.26762122,0.54818,1.7310163,0.5381,1.8151922,0.9983,0.00764236,0.929,0.26784587,0.54842,1.7175479,0.5367,1.8038739,0.99828,0.0075269453,0.9292,0.26635706
0.25,1.0,0.0005432223,0.9458,0.19847316,0.18252,2.652288,0.1801,2.6531513,0.36074,2.655091,0.3569,2.6717472,0.9928,0.023166396,0.9207,0.30259594,0.3583,2.6595166,0.3541,2.6771548,0.99286,0.022903895,0.9215,0.30253097,0.36232,2.6246219,0.36,2.6426265,0.993,0.022747658,0.9216,0.30239332,0.36354,2.613682,0.36,2.6342454,0.99322,0.022201391,0.9205,0.2993608
0.3,1.0,0.00052205677,0.9467,0.1952119,0.11268,2.5525625,0.1115,2.5520513,0.24284,3.0571718,0.238,3.0656312,0.97906,0.062080517,0.908,0.35426846,0.2442,3.0695505,0.2386,3.077677,0.97948,0.061210237,0.9074,0.35362843,0.2475,3.0299137,0.245,3.037191,0.97958,0.0609672,0.9094,0.3533694,0.24386,3.0417078,0.242,3.0521173,0.9801,0.059350044,0.9093,0.3469068
0.35,1.0,0.0005060355,0.9465,0.19276518,0.1,2.4388788,0.1,2.4385457,0.15824,3.1868913,0.1527,3.1943076,0.9558,0.13585927,0.8909,0.4274006,0.16108,3.1873665,0.1557,3.194068,0.95728,0.13378927,0.89,0.42703807,0.17186,3.155487,0.1674,3.1607878,0.95636,0.13381995,0.8904,0.4264875,0.15852,3.198868,0.1551,3.2063508,0.95696,0.13056147,0.8921,0.41622117
0.4,1.0,0.00049460965,0.9471,0.19114216,0.1,2.3724225,0.1,2.3721745,0.11978,3.2253683,0.1175,3.2312756,0.92668,0.23889415,0.8754,0.51018554,0.12368,3.203609,0.1207,3.2087996,0.92758,0.23512992,0.8743,0.5120356,0.13806,3.1897283,0.1358,3.1934028,0.92742,0.2370473,0.8734,0.5112656,0.12108,3.253763,0.1187,3.2581284,0.92828,0.23101793,0.8769,0.49687076
0.45000002,1.0,0.00048739833,0.9468,0.19034612,0.1,2.3488545,0.1,2.348785,0.10668,3.2568226,0.1057,3.2614043,0.90126,0.3366307,0.8575,0.5814566,0.10968,3.213267,0.1093,3.217422,0.90164,0.3322519,0.8557,0.5840478,0.12408,3.2156696,0.1242,3.2183602,0.90136,0.3359048,0.8575,0.5835309,0.11002,3.2898183,0.1093,3.292388,0.90258,0.32756543,0.8591,0.56648076
