alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.9541,0.13041025,0.8633,0.46057186,0.9541,0.13041112,0.8633,0.46057114,0.9541,0.13041112,0.8633,0.46057114,0.95384,0.13038199,0.8635,0.461051,0.95408,0.13041133,0.8633,0.46058133,0.95398,0.13039356,0.863,0.46085206,0.9541,0.1304111,0.8633,0.4605743,0.95396,0.13040149,0.8635,0.46093494,0.95412,0.13041134,0.8633,0.4605725,0.954,0.13042602,0.863,0.46143663,0.9541,0.13041113,0.8633,0.46056944,0.95382,0.13036494,0.8636,0.46112263
0.05,0.95736,0.12163347,0.8672,0.44245234,0.94294,0.18001772,0.8547,0.4204706,0.9472,0.15890819,0.8602,0.41898617,0.95096,0.13942891,0.8621,0.45474994,0.94838,0.15455708,0.8612,0.42186493,0.9509,0.13851866,0.8626,0.4527482,0.95188,0.13976613,0.8626,0.43709725,0.95292,0.13322006,0.8644,0.44884947,0.9547,0.12997766,0.8659,0.44219178,0.95514,0.12754133,0.8659,0.44387338,0.95736,0.12163098,0.8672,0.442448,0.95728,0.12160496,0.8671,0.44259396
0.1,0.96042,0.11407461,0.8684,0.42637014,0.90106,0.34567997,0.8258,0.51585376,0.92726,0.23324774,0.8475,0.43842036,0.94192,0.16269839,0.8545,0.46186438,0.93078,0.21418963,0.8514,0.43294597,0.944,0.15733698,0.8585,0.45649967,0.94512,0.1613528,0.8579,0.43053308,0.95046,0.14068599,0.8652,0.44293034,0.95404,0.13305552,0.8658,0.42919356,0.9558,0.12655647,0.8684,0.42982158,0.96044,0.11407363,0.8684,0.42637393,0.9603,0.11408969,0.8685,0.4266274
0.15,0.96346,0.1076377,0.8721,0.41229314,0.80128,0.71158665,0.7507,0.81447804,0.88562,0.36491635,0.8215,0.52220714,0.92678,0.20317997,0.8464,0.48169515,0.89688,0.31421655,0.8317,0.49048328,0.9329,0.18757072,0.8521,0.47012985,0.9332,0.19326063,0.8519,0.4361037,0.94642,0.15270197,0.8638,0.4403109,0.95244,0.13883108,0.8658,0.42051733,0.95546,0.12708671,0.8712,0.41865766,0.9635,0.10763722,0.8722,0.41229376,0.96356,0.10758515,0.8722,0.41305408
0.2,0.96596,0.10223613,0.8744,0.40017945,0.61684,1.292446,0.594,1.3388294,0.82164,0.56045014,0.773,0.67582095,0.90526,0.26396027,0.8351,0.5195894,0.84872,0.4557919,0.7966,0.5938854,0.9168,0.23128757,0.842,0.49353835,0.91882,0.23306656,0.8473,0.45116615,0.94054,0.16863953,0.86,0.44219908,0.94956,0.1466173,0.8672,0.41535106,0.95546,0.12910336,0.8719,0.40959162,0.96596,0.10223566,0.8743,0.40016824,0.96598,0.1022392,0.8746,0.4004357
0.25,0.96776,0.09779451,0.8776,0.38998345,0.36148,1.8522638,0.3548,1.8669446,0.74034,0.8074357,0.7048,0.88911813,0.87794,0.34708458,0.8163,0.5786408,0.78936,0.63122445,0.7473,0.73672587,0.89734,0.28903547,0.8301,0.52871966,0.90252,0.2771725,0.835,0.47235322,0.93334,0.1881189,0.857,0.4474722,0.94582,0.1557216,0.8666,0.41282052,0.95356,0.13193832,0.8735,0.4027447,0.96778,0.09779466,0.8776,0.3899828,0.96776,0.09777197,0.8773,0.39031452
0.3,0.96914,0.09424935,0.88,0.38166362,0.2048,2.1827908,0.2005,2.1853938,0.6441,1.0713058,0.6215,1.1285073,0.84496,0.4503797,0.7931,0.6571053,0.7241,0.8206112,0.6958,0.90037274,0.8739,0.356885,0.8189,0.5710629,0.88668,0.3211712,0.8241,0.49645618,0.9258,0.20973215,0.8533,0.45476705,0.94226,0.16524915,0.8657,0.41239673,0.95224,0.13533527,0.8742,0.39819926,0.96912,0.09425124,0.8802,0.38167077,0.96914,0.09420391,0.8801,0.38186094
0.35,0.9706,0.09154932,0.8814,0.375188,0.16256,2.3180609,0.1613,2.3173752,0.5511,1.309658,0.5325,1.3508697,0.8105,0.566636,0.7662,0.74875903,0.6598,0.9981611,0.6412,1.0593797,0.8511,0.43081704,0.8038,0.61825335,0.87278,0.36093628,0.8171,0.5192663,0.91748,0.23073822,0.8505,0.4635963,0.93832,0.17435816,0.8648,0.41343307,0.95116,0.13863367,0.8743,0.39508462,0.97058,0.09154671,0.8814,0.37519133,0.97058,0.09152164,0.8813,0.37559175
0.4,0.9717,0.089654796,0.8832,0.3705357,0.12752,2.3561192,0.1234,2.3550003,0.47718,1.4901514,0.469,1.5215095,0.78028,0.6789255,0.744,0.8416962,0.61192,1.1390398,0.5977,1.1875606,0.83084,0.4992409,0.7888,0.6624395,0.86208,0.39183053,0.8097,0.53726447,0.91168,0.24927542,0.85,0.47101387,0.9352,0.1820037,0.8649,0.41502416,0.94998,0.14144182,0.8746,0.3937199,0.97168,0.08965631,0.8832,0.37053752,0.97178,0.089518085,0.8835,0.370743
0.45000002,0.97192,0.088538,0.8831,0.36769575,0.10002,2.3634543,0.1,2.3628197,0.43244,1.5986817,0.4247,1.6247544,0.75652,0.7650717,0.724,0.9129891,0.58282,1.225285,0.57,1.2666185,0.81696,0.54702705,0.7813,0.6958815,0.85518,0.410609,0.8057,0.5477798,0.9075,0.2622368,0.8492,0.47589996,0.93276,0.18767439,0.8643,0.4168002,0.94954,0.14312129,0.8754,0.3931954,0.9719,0.08854128,0.8832,0.36769915,0.97192,0.08847419,0.8836,0.3679734
0.5,0.97214,0.088182665,0.8838,0.36666343,0.1,2.365003,0.1,2.364894,0.41754,1.6331251,0.4084,1.6582851,0.74684,0.80453557,0.7188,0.9451195,0.57784,1.2487141,0.564,1.2881739,0.81156,0.56481344,0.7782,0.7077613,0.85424,0.41501588,0.808,0.5485513,0.90492,0.267454,0.8492,0.47738427,0.93142,0.19058989,0.8639,0.41785365,0.94984,0.14398122,0.8767,0.39320832,0.97214,0.08818078,0.8838,0.36666018,0.97226,0.08812728,0.8837,0.36696905
0.55,0.97204,0.08858401,0.8844,0.36743543,0.1,2.358754,0.1,2.3590171,0.4306,1.5952598,0.4186,1.6225395,0.75232,0.7838752,0.7209,0.924782,0.59546,1.2078075,0.5779,1.2498928,0.81534,0.54563844,0.7806,0.6949829,0.8593,0.4048113,0.811,0.5396626,0.90678,0.26392293,0.8506,0.47426945,0.9313,0.1905147,0.8639,0.4179761,0.94992,0.1433868,0.8771,0.39434868,0.97206,0.088584684,0.8843,0.36743152,0.972,0.088505626,0.8843,0.3677088
0.6,0.9715,0.08974855,0.8841,0.37000835,0.1004,2.3418539,0.1007,2.3425493,0.47364,1.4863663,0.4642,1.5190067,0.77182,0.7097471,0.7387,0.8612572,0.63348,1.107415,0.6106,1.1567757,0.83038,0.494226,0.7904,0.6586759,0.86754,0.38134623,0.817,0.52298874,0.9107,0.25194314,0.8531,0.46796852,0.93176,0.18744095,0.864,0.41743767,0.95048,0.14162362,0.8771,0.39524502,0.97146,0.089753024,0.8841,0.36999774,0.97148,0.08970718,0.8841,0.37021622
