alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_test_accs,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses
0.0,0.9995,0.0033409607,0.8996,0.47657928,0.9995,0.0033409612,0.8996,0.47658807,0.9995,0.0033270067,0.8996,0.4779272,0.99942,0.9,0.99946,0.0033405744,0.8998,0.47662374,0.9,0.4771027,0.9995,0.003341106,0.8997,0.47660348,0.9,0.4770642,0.9995,0.0033410382,0.8998,0.47657827,0.8999,0.4770785
0.05,0.9997,0.0027349945,0.9021,0.4632874,0.99794,0.015671156,0.8947,0.37001568,0.99894,0.004505507,0.899,0.46719745,0.99904,0.8988,0.99892,0.0073098238,0.8996,0.4055287,0.9004,0.46251112,0.99916,0.0050707874,0.9,0.4439872,0.8995,0.45189172,0.99944,0.003615613,0.9004,0.45961428,0.9,0.4428721
0.1,0.99982,0.0022744834,0.9042,0.45164323,0.98202,0.0879763,0.8777,0.37436554,0.99686,0.0077772355,0.895,0.46281213,0.99814,0.8983,0.9967,0.019176688,0.8972,0.36691102,0.8989,0.45540997,0.99844,0.009353222,0.8974,0.42370293,0.8972,0.43581933,0.99938,0.0043625785,0.9003,0.44721493,0.8985,0.41670498
0.15,0.99984,0.0019282042,0.9051,0.44159865,0.91578,0.32106707,0.8235,0.53689665,0.98962,0.015668869,0.89,0.46821642,0.99554,0.8958,0.98994,0.046760734,0.8912,0.35594362,0.8952,0.45738497,0.99584,0.01798622,0.8942,0.41258788,0.8945,0.42931873,0.9992,0.0056092804,0.9014,0.4384674,0.8973,0.39923465
0.2,0.99988,0.0016694951,0.9059,0.43311462,0.77444,0.8023319,0.7142,0.9386572,0.97358,0.03254426,0.8784,0.48228395,0.98926,0.891,0.97478,0.09734393,0.8772,0.3701026,0.89,0.47063303,0.99048,0.032157023,0.8902,0.40819916,0.8909,0.43425962,0.99866,0.0073510422,0.9008,0.43228096,0.8937,0.39218166
0.25,0.99992,0.0014776032,0.9057,0.42616248,0.5423,1.4260385,0.511,1.4975172,0.94682,0.06426928,0.8627,0.5069061,0.97728,0.8843,0.94948,0.17263667,0.8617,0.40767795,0.882,0.4946683,0.98326,0.051422447,0.8858,0.4077378,0.8864,0.4516784,0.99812,0.0095019685,0.9012,0.42763835,0.8873,0.39717776
0.3,0.99994,0.0013373576,0.9069,0.42071754,0.30126,1.9128699,0.2853,1.9443018,0.90966,0.11331472,0.8394,0.5407428,0.9598,0.876,0.91848,0.26653865,0.8413,0.46494654,0.8739,0.5277044,0.97498,0.07354039,0.8826,0.40920365,0.8764,0.48205298,0.99728,0.01184533,0.9007,0.42412096,0.881,0.41461
0.35,0.99996,0.0012380809,0.9085,0.41676313,0.18578,2.1763465,0.1768,2.1876445,0.87276,0.17686725,0.8138,0.58136755,0.94106,0.8674,0.88402,0.3670023,0.8191,0.53348404,0.865,0.56578785,0.9669,0.09503451,0.8806,0.4111007,0.8649,0.5224127,0.9965,0.01411023,0.8995,0.42176777,0.8698,0.4437483
0.4,0.99998,0.001172636,0.9084,0.41430148,0.10746,2.2914772,0.1071,2.2946208,0.83894,0.2410423,0.7909,0.62037927,0.92402,0.8574,0.85322,0.45814276,0.7994,0.6001949,0.8564,0.6023468,0.96042,0.1121331,0.8763,0.41173863,0.8555,0.5624892,0.99562,0.01594084,0.8988,0.42026913,0.859,0.4769287
0.45000002,0.99998,0.0011366948,0.9087,0.41335568,0.1,2.3325183,0.1,2.33316,0.81648,0.28940615,0.773,0.64781094,0.91298,0.8512,0.83192,0.52395225,0.7813,0.6502416,0.8479,0.62877476,0.95744,0.1220427,0.874,0.41030136,0.8494,0.5899401,0.9951,0.017067727,0.8986,0.41953588,0.8507,0.50056595
0.5,0.99998,0.0011282217,0.9083,0.4139598,0.1,2.3422549,0.1,2.3425107,0.80848,0.30378756,0.7669,0.6575573,0.90954,0.8477,0.82436,0.5517705,0.7734,0.67157346,0.8457,0.6368172,0.95816,0.12335034,0.8735,0.40627155,0.8481,0.5958428,0.995,0.01734017,0.8992,0.41944173,0.8508,0.50421554
0.55,0.99996,0.001147184,0.9088,0.41614103,0.1,2.3349872,0.1,2.33607,0.81622,0.28059456,0.7736,0.64812493,0.91486,0.8489,0.83032,0.5360759,0.7796,0.65911955,0.8471,0.6244596,0.96112,0.11616947,0.874,0.40035534,0.8502,0.5789315,0.99518,0.016768502,0.8988,0.42035994,0.8549,0.48682335
0.6,0.99992,0.0011954791,0.9082,0.41990763,0.1047,2.2983186,0.1039,2.3020544,0.84062,0.23025578,0.7892,0.6196427,0.92668,0.8557,0.85088,0.47916695,0.7949,0.61530924,0.8542,0.5963107,0.96692,0.10201222,0.8761,0.3938721,0.8577,0.547756,0.99556,0.015478275,0.8989,0.42245722,0.8634,0.4579385
0.65,0.99994,0.0012770577,0.9072,0.42525405,0.1793,2.1895204,0.1716,2.2005663,0.87262,0.16672064,0.8121,0.58258134,0.94376,0.8625,0.88132,0.39191344,0.8166,0.55024153,0.8634,0.5608399,0.97444,0.08329039,0.8797,0.38846707,0.8676,0.51328576,0.99624,0.0136543205,0.8986,0.4257114,0.8726,0.42979997
0.7,0.9999,0.0013982937,0.9071,0.43217582,0.3367,1.934134,0.3216,1.963359,0.90906,0.107282095,0.8384,0.54790556,0.9624,0.872,0.91506,0.2902119,0.8396,0.4793778,0.8705,0.5280503,0.98214,0.06306437,0.8844,0.38575867,0.8761,0.48323166,0.9971,0.011537256,0.899,0.43036094,0.8802,0.41036016
0.75,0.99986,0.0015686121,0.9055,0.4406785,0.5423,1.4590735,0.5095,1.5256329,0.94406,0.061094824,0.8573,0.5198051,0.97772,0.8778,0.9482,0.19105406,0.8596,0.417984,0.88,0.5026367,0.98862,0.044048224,0.8874,0.3869449,0.8824,0.46277082,0.99764,0.009413134,0.8987,0.4365239,0.8875,0.40229037
