alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.99968,0.0019391907,0.9044,0.45005292,0.99968,0.0019391996,0.9044,0.45005524,0.99968,0.0019391996,0.9044,0.45005524,0.99968,0.0019339035,0.9044,0.4507582,0.9997,0.0019393974,0.9044,0.45005742,0.99974,0.0019143748,0.9044,0.45033348,0.9997,0.0019392287,0.9044,0.45005873,0.99968,0.0019287907,0.9043,0.4503459,0.9997,0.0019390468,0.9044,0.45006695,0.9997,0.001936512,0.9042,0.4511548,0.99968,0.0019395145,0.9044,0.45006585,0.9997,0.0019340031,0.9041,0.45009622
0.05,0.99974,0.0016222042,0.9061,0.43947148,0.99918,0.011036471,0.9002,0.35832942,0.99962,0.0051340763,0.9035,0.3856698,0.9996,0.002445666,0.905,0.43816423,0.9996,0.0047395215,0.903,0.38963872,0.99968,0.0024365704,0.904,0.43845692,0.99966,0.0031390477,0.9043,0.4154901,0.99974,0.0025052885,0.9037,0.4311077,0.99968,0.0021665972,0.9059,0.4332283,0.99972,0.0025528728,0.9036,0.42225805,0.99974,0.0016218639,0.9061,0.43949887,0.99972,0.0025320686,0.9044,0.41620153
0.1,0.99984,0.0013728355,0.9073,0.43008,0.99006,0.07273961,0.8818,0.36672327,0.99802,0.017552571,0.8962,0.35697055,0.99948,0.003640916,0.9031,0.43036246,0.99842,0.0147654805,0.8979,0.35930803,0.99954,0.0036840057,0.9029,0.4315998,0.99938,0.0060741,0.9026,0.3928393,0.99944,0.00381191,0.9022,0.4170737,0.9997,0.0026063055,0.9058,0.41978994,0.99964,0.0038517783,0.9015,0.40089917,0.99984,0.0013730092,0.9073,0.43010676,0.99972,0.0033714208,0.9044,0.38607368
0.15,0.99986,0.0011777534,0.9085,0.42184505,0.93902,0.2918468,0.8366,0.52644515,0.99062,0.05193217,0.8846,0.36109987,0.99876,0.0063838526,0.9001,0.42789114,0.9932,0.04108344,0.8876,0.35575804,0.99876,0.0065660845,0.8998,0.43069372,0.99822,0.011998234,0.9001,0.37944907,0.9989,0.0066152522,0.9006,0.40868193,0.99966,0.0032774815,0.9051,0.4090715,0.99942,0.0064787725,0.8993,0.38628078,0.99986,0.0011774922,0.9085,0.42185557,0.99974,0.004446107,0.9053,0.3585644
0.2,0.99992,0.0010263809,0.9097,0.41473517,0.81796,0.75788254,0.7377,0.911878,0.96888,0.12156663,0.8642,0.39818007,0.9968,0.012405764,0.8987,0.4302415,0.97896,0.09303651,0.8743,0.37828505,0.99676,0.012761676,0.896,0.4353727,0.99598,0.022086266,0.8966,0.37344897,0.9977,0.012304935,0.896,0.4089771,0.99948,0.00419375,0.9045,0.40072358,0.99868,0.011636711,0.8956,0.3799915,0.99992,0.0010262518,0.9098,0.41474095,0.99976,0.0058229873,0.9062,0.3358561
0.25,0.99998,0.0009102642,0.9103,0.40872526,0.62548,1.3684273,0.5832,1.4504693,0.9323,0.23033342,0.8403,0.46759534,0.9923,0.024383014,0.894,0.44022548,0.95232,0.17328623,0.8587,0.42456988,0.99216,0.024931818,0.893,0.44602382,0.99172,0.036489226,0.8917,0.3730929,0.9939,0.023331193,0.8909,0.41708544,0.99924,0.0053122733,0.9047,0.39450178,0.9964,0.021703428,0.8896,0.38406706,0.99998,0.000910032,0.9103,0.40874982,0.99982,0.0074984515,0.9069,0.31602377
0.3,0.99998,0.0008226378,0.9108,0.40379906,0.40522,1.8608092,0.3824,1.8975031,0.88184,0.36878115,0.8086,0.56412876,0.98398,0.045003463,0.8877,0.45496297,0.9176,0.2748628,0.8357,0.48998556,0.98406,0.045773603,0.8866,0.46382856,0.9859,0.054001655,0.8862,0.37654814,0.98702,0.042404793,0.8853,0.4314589,0.99892,0.0065467963,0.9044,0.38990444,0.99066,0.039726388,0.8814,0.39848974,0.99998,0.0008224367,0.9108,0.40381896,0.99988,0.009347847,0.909,0.30050153
0.35,0.99998,0.00075814483,0.9117,0.39994782,0.23348,2.138231,0.223,2.1520922,0.82694,0.5175584,0.7679,0.6752603,0.97294,0.07521657,0.8825,0.4754127,0.87924,0.3831926,0.8112,0.56507254,0.9729,0.07510953,0.8796,0.4854043,0.98022,0.07224796,0.8823,0.38214162,0.97658,0.07073134,0.8791,0.45304966,0.99884,0.0077740983,0.9038,0.3868772,0.98038,0.06768799,0.8726,0.42381358,0.99998,0.00075804617,0.9117,0.3999617,0.99994,0.011262815,0.9103,0.28858417
0.4,0.99998,0.00071268243,0.9111,0.3971687,0.16378,2.265249,0.1596,2.2696218,0.7766,0.6531223,0.7293,0.78195083,0.96134,0.11015191,0.8756,0.4963968,0.8451,0.48045373,0.7868,0.6366172,0.96182,0.10973429,0.8742,0.5074565,0.975,0.08800871,0.878,0.38805398,0.96386,0.10409437,0.8715,0.47571415,0.99852,0.008823359,0.9033,0.38515842,0.96714,0.1036513,0.8618,0.45366302,0.99998,0.00071255397,0.9111,0.39717576,0.99998,0.012908459,0.9104,0.28023097
0.45000002,0.99998,0.0006832789,0.9119,0.39546612,0.15826,2.3136694,0.1528,2.3148773,0.73806,0.7530704,0.6986,0.8637696,0.95172,0.14035925,0.8713,0.51457787,0.81934,0.5494403,0.768,0.68998516,0.95214,0.13951668,0.8693,0.5262322,0.97178,0.09852195,0.8755,0.39285603,0.95368,0.13381304,0.8652,0.4951475,0.99844,0.009551242,0.9026,0.38441446,0.95512,0.13586447,0.855,0.4781865,0.99998,0.0006832043,0.9119,0.39547464,0.99998,0.014152372,0.9113,0.2753193
0.5,0.99998,0.0006679619,0.9116,0.3948531,0.14514,2.3282957,0.1401,2.3288255,0.71786,0.8004503,0.6833,0.90423787,0.94712,0.15453276,0.8678,0.52366644,0.8092,0.5769007,0.7579,0.71280247,0.94808,0.15312219,0.8659,0.5345778,0.97042,0.10170226,0.875,0.39484635,0.9483,0.14744404,0.8617,0.50506383,0.99828,0.009839003,0.9029,0.38448977,0.94984,0.14932388,0.8514,0.4867249,0.99998,0.00066802284,0.9117,0.39487767,0.99998,0.014545143,0.9123,0.27386323
0.55,0.99998,0.0006656379,0.9121,0.39535072,0.129,2.3246028,0.123,2.3258247,0.72126,0.7871037,0.6866,0.8949035,0.95024,0.1463687,0.868,0.5214831,0.8147,0.55773133,0.7609,0.6997643,0.9499,0.14497007,0.8683,0.53223914,0.97164,0.09698794,0.8756,0.39350185,0.95068,0.13976337,0.8638,0.49937174,0.99836,0.009647588,0.9032,0.38540772,0.95552,0.13595395,0.8562,0.47473636,0.99998,0.00066562765,0.9121,0.3953588,0.99998,0.014147626,0.9125,0.27565217
