alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses
0.0,0.99996,0.0014175498,0.9038,0.4350992,0.99996,0.0014175514,0.9038,0.4351026,0.99996,0.0014175514,0.9038,0.4351026,0.99996,0.0014113114,0.9039,0.43593293,0.99996,0.0014175124,0.9039,0.43511507,0.99996,0.0014143033,0.9037,0.4357736
0.05,0.99998,0.0012397863,0.9051,0.42676917,0.99984,0.009102347,0.9002,0.3420997,0.99994,0.0045332797,0.9023,0.36982062,0.99994,0.0018840476,0.9039,0.42651328,0.9999,0.0044437954,0.9029,0.37009463,0.99992,0.0019128198,0.9037,0.42628044
0.1,0.99998,0.0011000665,0.9066,0.4193108,0.9965,0.056398902,0.8895,0.3364563,0.99936,0.015329232,0.8986,0.33641666,0.99984,0.002843492,0.9021,0.42068213,0.99938,0.014658909,0.8989,0.3360177,0.9998,0.0028708943,0.9021,0.4200857
0.15,0.99998,0.0009903002,0.9076,0.41272616,0.97616,0.22860616,0.8656,0.46050423,0.9967,0.04439344,0.8922,0.33423948,0.99954,0.004714479,0.9008,0.41888914,0.99676,0.041823313,0.8936,0.33198953,0.99952,0.004754029,0.901,0.4180593
0.2,1.0,0.0009043518,0.9079,0.407019,0.91256,0.6234733,0.8141,0.7887328,0.98834,0.10446982,0.8834,0.36532623,0.99862,0.008464629,0.8969,0.42128828,0.98938,0.097551785,0.8838,0.3594287,0.99854,0.008448431,0.8977,0.4201933
0.25,1.0,0.0008376504,0.9089,0.40218902,0.78506,1.1904441,0.7206,1.2884278,0.96956,0.20222478,0.8663,0.43059295,0.99604,0.015590779,0.8935,0.42927068,0.97234,0.18772306,0.8684,0.41864276,0.99608,0.015497226,0.8944,0.42685077
0.3,1.0,0.0007868212,0.9097,0.39822865,0.5697,1.7004025,0.5276,1.7497712,0.93914,0.33181262,0.8446,0.5252209,0.99172,0.028114295,0.8889,0.4411523,0.94502,0.30683413,0.8495,0.5047368,0.9915,0.027885662,0.8905,0.4387407
0.35,1.0,0.0007494073,0.9097,0.3951248,0.25722,2.026287,0.2454,2.047598,0.90292,0.47458565,0.8219,0.6353955,0.98458,0.046505228,0.8866,0.45628405,0.91102,0.43720078,0.8288,0.60443485,0.9844,0.04614748,0.8865,0.4531792
0.4,1.0,0.0007236715,0.9097,0.39286333,0.11792,2.1976106,0.1128,2.2053509,0.86742,0.60463846,0.7989,0.7398806,0.9761,0.06844339,0.8823,0.47121286,0.87866,0.55463356,0.8057,0.6978567,0.97614,0.068290964,0.8837,0.46896303
0.45000002,1.0,0.0007084702,0.9093,0.39143276,0.1,2.2771313,0.1,2.2791708,0.84016,0.69690275,0.7789,0.8159103,0.96866,0.08814661,0.8801,0.48164296,0.8552,0.6357299,0.7881,0.76399213,0.96928,0.0871326,0.879,0.48104385
0.5,1.0,0.000703173,0.9089,0.3908276,0.1,2.3030639,0.1,2.3035746,0.82976,0.73373765,0.7703,0.84647983,0.96514,0.09704557,0.8778,0.48689708,0.84642,0.664648,0.784,0.7878519,0.96584,0.096646674,0.8772,0.4858224
0.55,1.0,0.00070763077,0.9083,0.39104813,0.1,2.28968,0.1,2.291366,0.83718,0.70811063,0.7776,0.82488745,0.96718,0.09161401,0.879,0.48224753,0.85452,0.636204,0.7897,0.7645871,0.96728,0.09138805,0.8768,0.48229465
0.6,1.0,0.0007221798,0.9083,0.3921003,0.1088,2.2292528,0.1064,2.2358103,0.86096,0.6239693,0.7946,0.7550586,0.97354,0.07400292,0.8818,0.47025204,0.87736,0.55556613,0.8046,0.6991372,0.97372,0.07395125,0.8791,0.47102088
0.65,1.0,0.0007476945,0.9083,0.39399478,0.26848,2.087473,0.251,2.1061635,0.89722,0.4970179,0.8177,0.65218246,0.98288,0.05152943,0.8856,0.45468396,0.90938,0.43866396,0.8242,0.6063901,0.98242,0.05159487,0.8822,0.45677128
0.7,1.0,0.00078567275,0.9077,0.39674503,0.4668,1.8031944,0.4312,1.847381,0.93592,0.3519229,0.8412,0.5388086,0.99086,0.03161303,0.889,0.43963796,0.94454,0.30860996,0.8474,0.50694764,0.99062,0.031655308,0.8863,0.44217134
0.75,1.0,0.000838346,0.9077,0.40036637,0.66972,1.3287613,0.6131,1.4191082,0.96822,0.21665564,0.8636,0.43855798,0.99572,0.017584134,0.8926,0.42704427,0.97286,0.18950254,0.8675,0.4207658,0.99558,0.01771998,0.8919,0.42896914
0.8,1.0,0.00090875564,0.9065,0.4048749,0.84782,0.7475862,0.7615,0.90589595,0.98876,0.112715565,0.8818,0.36792502,0.99832,0.0093257325,0.8962,0.4188616,0.99006,0.098925784,0.8828,0.36130914,0.99844,0.009411075,0.8952,0.42164534
0.85,0.99998,0.0010007925,0.9056,0.41028738,0.95382,0.29192784,0.8423,0.52186584,0.99708,0.048085082,0.8899,0.33343256,0.99956,0.005060126,0.8988,0.41641703,0.99734,0.042725503,0.89,0.3337738,0.9995,0.0051443577,0.8982,0.41716173
0.9,0.99996,0.0011193416,0.9034,0.41662103,0.99324,0.07359404,0.8827,0.3565686,0.99962,0.016593682,0.8978,0.33400947,0.99982,0.0029788858,0.8997,0.41728348,0.99968,0.015128278,0.8976,0.3374327,0.99982,0.0030257336,0.8999,0.41811168
0.95,0.99996,0.0012707487,0.9026,0.42389235,0.99972,0.011040417,0.8996,0.3449296,0.9999,0.0048633087,0.9013,0.36705172,0.99996,0.0019619185,0.9014,0.4232242,0.9999,0.0046234657,0.901,0.37025747,0.99996,0.001963478,0.9013,0.4233979
1.0,0.99996,0.0014636354,0.9027,0.4321161,0.99996,0.0014636336,0.9027,0.43211725,0.99996,0.0014636996,0.9027,0.43211553,0.99996,0.0014484779,0.9023,0.43268627,0.99996,0.0014631114,0.9027,0.43212852,0.99996,0.0014609904,0.9027,0.43286872
