alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses
0.0,0.98746,0.042177405,0.8737,0.45455948,0.98746,0.042177193,0.8737,0.4545607,0.98746,0.042177193,0.8737,0.4545607,0.98748,0.042125314,0.8729,0.4532789,0.98744,0.042178415,0.8736,0.45456785,0.98746,0.042147398,0.8727,0.45320347
0.05,0.98946,0.03718249,0.8762,0.43625253,0.9706,0.090230495,0.8636,0.4533765,0.98094,0.062018603,0.8699,0.44281963,0.98584,0.046777546,0.873,0.45005107,0.9823,0.057979412,0.8695,0.4419471,0.9861,0.045723237,0.8722,0.44978833
0.1,0.99132,0.033020545,0.8801,0.42006215,0.89256,0.29870734,0.8165,0.5911204,0.95046,0.13786004,0.8575,0.48713377,0.98058,0.06105745,0.8694,0.45828307,0.9591,0.11630073,0.8623,0.47584796,0.9817,0.057209194,0.8709,0.45457634
0.15,0.99276,0.029594807,0.8823,0.40593404,0.73892,0.7655712,0.6936,0.94166875,0.89348,0.29745203,0.8237,0.59147733,0.96824,0.090730086,0.8653,0.47889215,0.91366,0.23580612,0.8356,0.55279213,0.97236,0.080025986,0.8688,0.46838316
0.2,0.99394,0.026817061,0.8849,0.3938095,0.49248,1.4927378,0.4757,1.5715766,0.81244,0.5459631,0.7614,0.76853615,0.9473,0.14389396,0.8533,0.51462996,0.85204,0.42145234,0.7957,0.675149,0.95722,0.11956526,0.8637,0.4937093
0.25,0.99472,0.024609538,0.8856,0.38363606,0.2429,2.213235,0.2371,2.2431953,0.71702,0.8590303,0.6881,1.0094332,0.92072,0.22573875,0.8391,0.5723572,0.7795,0.65941435,0.7415,0.8454392,0.9363,0.17944518,0.8544,0.5326942
0.3,0.99542,0.022906646,0.8867,0.37537485,0.10874,2.6320307,0.1086,2.6423383,0.6164,1.1989114,0.5959,1.295841,0.88728,0.3350662,0.8206,0.6481361,0.70194,0.9253286,0.6732,1.05567,0.91084,0.2591906,0.839,0.58392936
0.35,0.9961,0.021655604,0.8894,0.36900362,0.1,2.6934931,0.1,2.695401,0.52332,1.5185239,0.5116,1.5814027,0.85238,0.4657528,0.7987,0.74021417,0.62736,1.1842004,0.6097,1.276459,0.8832,0.35206327,0.824,0.64576626
0.4,0.99624,0.02081632,0.8902,0.3645156,0.1,2.6232636,0.1,2.6235683,0.45372,1.7782401,0.4409,1.8205637,0.82204,0.5949671,0.7782,0.83758956,0.56528,1.3997173,0.5493,1.4698372,0.85794,0.4437703,0.8099,0.7079278
0.45000002,0.99664,0.020361174,0.8903,0.36191666,0.1,2.5665276,0.1,2.5666475,0.41462,1.9514263,0.404,1.9829655,0.79802,0.69665533,0.762,0.9171669,0.5266,1.53837,0.512,1.5986471,0.84056,0.5121914,0.7971,0.7549379
0.5,0.99666,0.020275023,0.8898,0.36122307,0.1,2.5392363,0.1,2.5393047,0.3971,2.0285103,0.3878,2.0558453,0.78786,0.7395744,0.7524,0.95455956,0.51336,1.5796342,0.4986,1.6389889,0.83366,0.53894395,0.7906,0.77579
