alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.001101644,0.915,0.33251265,0.99996,0.0011175948,0.9156,0.33218122,0.99996,0.0011048871,0.915,0.3325566,0.99996,0.0011177338,0.9156,0.33216622,0.99996,0.0011014201,0.915,0.33234003,0.99996,0.001117722,0.9156,0.33215633,0.99996,0.0011066383,0.9152,0.33229247,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.0011054106,0.915,0.33246624
0.05,0.99996,0.0011177423,0.9156,0.33216634,0.99996,0.0011175923,0.9156,0.33216926,0.99996,0.0011175923,0.9156,0.33216926,0.99996,0.0011029061,0.9146,0.33249825,0.99996,0.0011175749,0.9156,0.33218095,0.99996,0.0011053153,0.9149,0.3325542,0.99996,0.0011177763,0.9156,0.33217254,0.99996,0.0011037532,0.9147,0.3322721,0.99996,0.0011178297,0.9156,0.33215636,0.99996,0.0011034457,0.9148,0.33246273,0.99996,0.0011177734,0.9156,0.33217028,0.99996,0.0011053149,0.9151,0.33250794
0.1,0.99996,0.0011177423,0.9156,0.33216634,0.99996,0.0011176986,0.9156,0.33216473,0.99996,0.0011176986,0.9156,0.33216473,0.99996,0.0011032571,0.915,0.33222678,0.99996,0.0011174734,0.9156,0.3321787,0.99996,0.0011071946,0.9152,0.3326632,0.99996,0.001118026,0.9156,0.3321573,0.99996,0.0011016539,0.9149,0.33242172,0.99996,0.0011177267,0.9156,0.3321673,0.99996,0.0011062424,0.9153,0.33265153,0.99996,0.001117707,0.9156,0.3321741,0.99996,0.0010990446,0.9152,0.33254623
0.15,0.99996,0.0011177422,0.9156,0.33216634,0.99996,0.0011176921,0.9156,0.33217078,0.99996,0.0011176921,0.9156,0.33217078,0.99996,0.0011010891,0.9151,0.33236325,0.99996,0.0011176051,0.9156,0.33218092,0.99996,0.0011048401,0.915,0.33232778,0.99996,0.0011179317,0.9156,0.33216423,0.99996,0.0011058591,0.9149,0.33264458,0.99996,0.0011178645,0.9156,0.33215755,0.99996,0.0011055892,0.9151,0.33244377,0.99996,0.0011177866,0.9156,0.3321612,0.99996,0.0011003737,0.9151,0.3325137
0.2,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011177557,0.9156,0.33216318,0.99996,0.0011177557,0.9156,0.33216318,0.99996,0.001103583,0.9152,0.33226982,0.99996,0.0011176444,0.9156,0.33217922,0.99996,0.0011013459,0.9152,0.33231363,0.99996,0.0011178555,0.9156,0.3321704,0.99996,0.0011026672,0.9151,0.33234257,0.99996,0.0011178212,0.9156,0.33217523,0.99996,0.0011031162,0.9149,0.33261174,0.99996,0.001117671,0.9156,0.33217114,0.99996,0.001101914,0.9149,0.3321881
0.25,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.001101752,0.9149,0.3324241,0.99996,0.0011175276,0.9156,0.33217883,0.99996,0.0011014027,0.9151,0.33245912,0.99996,0.0011177247,0.9156,0.3321629,0.99996,0.0011012435,0.9153,0.3323326,0.99996,0.0011177583,0.9156,0.33217263,0.99996,0.0011079682,0.915,0.33248812,0.99996,0.001117795,0.9156,0.33216083,0.99996,0.0011032257,0.9152,0.33243713
0.3,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011177042,0.9156,0.33216408,0.99996,0.0011177042,0.9156,0.33216408,0.99996,0.0011061947,0.9152,0.33223146,0.99996,0.0011176247,0.9156,0.33217862,0.99996,0.0011054324,0.9148,0.33247057,0.99996,0.0011179012,0.9156,0.33217135,0.99996,0.0011020851,0.9153,0.33226886,0.99996,0.0011176877,0.9156,0.33217353,0.99996,0.001101603,0.9152,0.33238176,0.99996,0.0011177189,0.9156,0.33217213,0.99996,0.0011064925,0.9152,0.33239546
0.35,0.99996,0.0011177423,0.9156,0.33216634,0.99996,0.0011177704,0.9156,0.33216873,0.99996,0.0011177704,0.9156,0.33216873,0.99996,0.0011023439,0.9148,0.33242515,0.99996,0.0011176284,0.9156,0.33217475,0.99996,0.0011064906,0.9148,0.33241472,0.99996,0.0011179622,0.9156,0.3321632,0.99996,0.0011052918,0.9151,0.33246347,0.99996,0.0011178165,0.9156,0.33216277,0.99996,0.0011074267,0.9152,0.33233547,0.99996,0.0011179701,0.9156,0.33215946,0.99996,0.0011044065,0.9147,0.3325867
0.4,0.99996,0.0011177422,0.9156,0.33216634,0.99996,0.0011177572,0.9156,0.3321627,0.99996,0.0011177572,0.9156,0.3321627,0.99996,0.0011046043,0.9152,0.33241433,0.99996,0.0011174566,0.9156,0.33218125,0.99996,0.0011018495,0.9151,0.3324648,0.99996,0.0011179115,0.9156,0.3321632,0.99996,0.0011081612,0.915,0.33254117,0.99996,0.0011177986,0.9156,0.33216596,0.99996,0.0011056638,0.9151,0.33251217,0.99996,0.0011176403,0.9156,0.3321662,0.99996,0.0011046295,0.9153,0.33233082
0.45000002,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011176363,0.9156,0.3321712,0.99996,0.0011176363,0.9156,0.3321712,0.99996,0.0011015977,0.9154,0.33235967,0.99996,0.0011174659,0.9156,0.33217716,0.99996,0.0011050358,0.9151,0.33245307,0.99996,0.0011178232,0.9156,0.33216703,0.99996,0.0011047624,0.9151,0.33218303,0.99996,0.0011178037,0.9156,0.33215213,0.99996,0.0011061259,0.9148,0.33231542,0.99996,0.0011179037,0.9156,0.3321618,0.99996,0.0011040563,0.9149,0.3326348
