alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses
0.0,0.99996,0.0011176881,0.9156,0.33216512,0.99996,0.0011177078,0.9156,0.3321626,0.99996,0.0011177078,0.9156,0.3321626,0.99996,0.0011037459,0.9149,0.33257714,0.99996,0.0011173675,0.9156,0.33217642,0.99996,0.0011009369,0.9152,0.33251926
0.05,0.99996,0.00094366574,0.9165,0.32227504,0.9988,0.0069551063,0.9078,0.35139927,0.9998,0.0020809593,0.9143,0.33927238,0.99996,0.0012824526,0.9153,0.33053163,0.99982,0.0021017448,0.9142,0.33904505,0.99994,0.0013200076,0.9153,0.3293108
0.1,0.99998,0.00080933404,0.9182,0.31346285,0.968,0.09932093,0.8666,0.45393598,0.99662,0.01251442,0.9048,0.36280364,0.99986,0.0018342827,0.9141,0.33279115,0.99674,0.012395458,0.9035,0.36643356,0.99988,0.0018743045,0.9143,0.33084682
0.15,0.99998,0.0007057661,0.92,0.30573028,0.83902,0.46904287,0.763,0.7284175,0.9813,0.059412938,0.8848,0.4085247,0.99966,0.003266206,0.9115,0.34152704,0.97978,0.061102785,0.8822,0.42132837,0.99968,0.003183308,0.9112,0.33808127
0.2,0.99998,0.00062633044,0.921,0.29907626,0.56846,1.1708329,0.5399,1.2960311,0.94174,0.17233557,0.849,0.4877822,0.99846,0.006868644,0.9073,0.3551254,0.9367,0.18310203,0.8458,0.5147359,0.99862,0.0063703996,0.9072,0.35131112
0.25,1.0,0.00056612113,0.9217,0.2934984,0.27374,1.8864514,0.2694,1.930924,0.87724,0.35604918,0.8038,0.6143379,0.99574,0.01535183,0.9031,0.37591314,0.8693,0.38105562,0.7967,0.6545055,0.99616,0.013980674,0.904,0.37117404
0.3,1.0,0.000521505,0.9228,0.28899512,0.12162,2.3051414,0.1193,2.317175,0.79958,0.5887083,0.7441,0.7868083,0.98918,0.032769922,0.8964,0.40411457,0.79224,0.6267541,0.7376,0.83587074,0.99016,0.029766794,0.8975,0.39885288
0.35,1.0,0.0004898049,0.9236,0.28556436,0.1,2.473785,0.1,2.476201,0.71648,0.83013874,0.6761,0.9793989,0.97858,0.06256587,0.8876,0.43718758,0.71432,0.87818694,0.6791,1.0328828,0.98018,0.056847814,0.889,0.4312093
0.4,1.0,0.00046910506,0.9239,0.28320217,0.1,2.5388854,0.1,2.539319,0.64552,1.0333638,0.6157,1.1495268,0.96564,0.100948215,0.8788,0.4721485,0.65208,1.0890805,0.6231,1.207172,0.96872,0.09177672,0.8828,0.46032026
0.45000002,1.0,0.00045814694,0.9248,0.28190538,0.1,2.5747395,0.1,2.5747757,0.59848,1.1627743,0.5721,1.2608461,0.95586,0.13435845,0.8741,0.49473393,0.61398,1.2247357,0.5874,1.3225888,0.9586,0.12280776,0.8776,0.48036322
0.5,1.0,0.000456267,0.924,0.28167555,0.1,2.596511,0.1,2.596441,0.58292,1.2001814,0.5592,1.2926089,0.9519,0.1469599,0.8755,0.50002944,0.60176,1.2646091,0.5764,1.3560435,0.95504,0.1352957,0.875,0.48310566
