alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.9999,0.0012826943,0.9141,0.33903268,0.9999,0.0012826937,0.9141,0.33903122,0.9999,0.0012826937,0.9141,0.33903122,0.9999,0.001264923,0.9142,0.33919853,0.9999,0.0012831811,0.9141,0.33899856,0.9999,0.001261051,0.9146,0.33929765,0.9999,0.0012826942,0.9141,0.33902588,0.9999,0.0012643393,0.9142,0.3394139,0.9999,0.0012826937,0.9141,0.33903122,0.9999,0.0012671865,0.9143,0.33935475
0.05,0.99992,0.0010675294,0.9164,0.32844365,0.99886,0.0061940243,0.9093,0.34818092,0.99978,0.0020533882,0.9142,0.34503514,0.99988,0.0014226167,0.9129,0.33672005,0.99982,0.0017786152,0.913,0.34238958,0.99992,0.0013857898,0.9132,0.33550185,0.9999,0.0013396202,0.9136,0.33951908,0.9999,0.001277143,0.915,0.3351341,0.99992,0.0010675011,0.9165,0.32844043,0.99994,0.0010530923,0.9158,0.32897684
0.1,0.99996,0.00090100354,0.9177,0.31892586,0.97734,0.075029686,0.8779,0.41161317,0.99786,0.010084381,0.9057,0.35888368,0.99986,0.0019071723,0.912,0.33775255,0.9987,0.006832356,0.9093,0.35244268,0.99986,0.0018035126,0.9132,0.3355175,0.9998,0.002144374,0.913,0.34418657,0.9999,0.0014145445,0.9153,0.3328641,0.99996,0.0009009021,0.9177,0.31892544,0.99996,0.00088680733,0.9174,0.319026
0.15,1.0,0.0007729812,0.9187,0.31047583,0.86576,0.38810644,0.786,0.64598787,0.98628,0.045671754,0.8909,0.3864724,0.9996,0.0031381343,0.913,0.34316272,0.99178,0.028385803,0.8992,0.37218273,0.9997,0.0028570986,0.9144,0.33918658,0.99914,0.0045986543,0.9097,0.3521633,0.99988,0.0017246942,0.914,0.33317494,1.0,0.0007729204,0.9187,0.3104724,1.0,0.0007600837,0.9186,0.3107379
0.2,1.0,0.0006753332,0.92,0.3030956,0.57056,1.1387668,0.5365,1.2772251,0.95512,0.13461432,0.8635,0.44405937,0.99878,0.006223296,0.9106,0.35420734,0.97298,0.0848653,0.8825,0.40987363,0.99896,0.0053582727,0.9129,0.34753853,0.99742,0.010201769,0.9067,0.36261386,0.99988,0.002276476,0.9141,0.3348848,1.0,0.0006752834,0.92,0.3030807,1.0,0.0006659053,0.9204,0.30325013
0.25,1.0,0.00060160604,0.9215,0.2967934,0.2488,2.036363,0.2419,2.0862272,0.90006,0.2895476,0.8206,0.54781723,0.99624,0.013583534,0.9072,0.37138164,0.93714,0.18715796,0.8506,0.47765404,0.99712,0.01110164,0.9097,0.36052987,0.99372,0.0204605,0.9037,0.37482852,0.99962,0.003228067,0.9133,0.33841908,1.0,0.0006016183,0.9215,0.29677832,1.0,0.000594108,0.9218,0.29697588
0.3,1.0,0.0005468007,0.9228,0.29158077,0.15846,2.510313,0.1542,2.5221486,0.82174,0.5016048,0.7637,0.7034042,0.99002,0.029632527,0.9002,0.39504585,0.88494,0.33212948,0.8131,0.579005,0.99274,0.022631962,0.9051,0.379493,0.98884,0.03519231,0.899,0.38730308,0.99914,0.0047327196,0.9127,0.343212,1.0,0.0005467407,0.9228,0.29157847,1.0,0.00053911377,0.9228,0.29170856
0.35,1.0,0.000507162,0.9228,0.28746635,0.11486,2.6195242,0.1123,2.6222525,0.7387,0.7382423,0.6977,0.89197284,0.9798,0.058073834,0.8921,0.42514572,0.8273,0.49959853,0.7694,0.7053704,0.9858,0.0414938,0.8991,0.40165442,0.9826,0.05205102,0.8934,0.39886394,0.99842,0.0067328094,0.9111,0.34839666,1.0,0.00050719106,0.9229,0.28746217,1.0,0.00050228636,0.9233,0.2876717
0.4,1.0,0.00047997333,0.9237,0.28445083,0.1,2.6203933,0.1,2.6209803,0.66416,0.9520859,0.63,1.0723565,0.9672,0.09592879,0.884,0.45838958,0.77616,0.65897024,0.7271,0.83322835,0.97756,0.06531746,0.894,0.42461208,0.97736,0.06754891,0.889,0.40812954,0.99764,0.008869802,0.9112,0.35296267,1.0,0.00047997056,0.9236,0.28445038,1.0,0.0004756002,0.9235,0.2847395
0.45000002,1.0,0.00046338767,0.9244,0.28252664,0.1,2.6098015,0.1,2.6097672,0.61386,1.1009979,0.5868,1.2019434,0.95594,0.131111,0.8775,0.48493403,0.73728,0.77875334,0.6968,0.9338527,0.97062,0.08636517,0.8906,0.44417933,0.97414,0.078187406,0.885,0.414267,0.99688,0.010502439,0.9107,0.35590953,1.0,0.00046339468,0.9244,0.28251305,1.0,0.00045811693,0.9246,0.28278863
0.5,1.0,0.00045628138,0.924,0.28168336,0.1,2.5965095,0.1,2.5964396,0.59576,1.1600124,0.5703,1.2545211,0.95138,0.1467808,0.8739,0.49825543,0.72162,0.83568513,0.6821,0.9844889,0.9681,0.09486672,0.8886,0.4536357,0.97298,0.08126374,0.8838,0.41631803,0.9967,0.011048931,0.9112,0.35694993,1.0,0.00045628278,0.924,0.2816894,1.0,0.00045162442,0.9244,0.28202033
0.55,1.0,0.0004581606,0.9247,0.28191245,0.1,2.574741,0.1,2.5747778,0.6112,1.1228176,0.5834,1.222408,0.9554,0.13504702,0.8743,0.49415952,0.729,0.8192518,0.6883,0.9756884,0.9706,0.0863672,0.8882,0.45176297,0.9746,0.07615781,0.8846,0.41405076,0.99712,0.01026172,0.9121,0.3552124,1.0,0.0004581536,0.9248,0.28190458,1.0,0.00045435267,0.9248,0.28226385
0.6,1.0,0.0004691187,0.9239,0.28320843,0.1,2.5388865,0.1,2.539315,0.6585,0.9960036,0.6243,1.1134757,0.96488,0.101748876,0.8801,0.47258347,0.75768,0.7344522,0.711,0.9125211,0.97732,0.06513007,0.8903,0.43823016,0.97872,0.064176485,0.8862,0.4076991,0.99804,0.008475714,0.9128,0.35173327,1.0,0.00046911745,0.924,0.28319922,1.0,0.0004640584,0.9244,0.2835682
0.65,1.0,0.0004898188,0.9236,0.28556985,0.1,2.473785,0.1,2.4762022,0.72716,0.7983672,0.6863,0.94844365,0.97806,0.063062795,0.8885,0.44028512,0.80184,0.59611607,0.7459,0.8102888,0.98574,0.041058037,0.8939,0.41617805,0.98406,0.048031285,0.8913,0.39802063,0.9988,0.0063942946,0.913,0.34592384,1.0,0.00048982137,0.9235,0.2855638,1.0,0.0004833065,0.9236,0.28603268
0.7,1.0,0.0005215205,0.9228,0.28899983,0.12162,2.3051422,0.1192,2.317174,0.80636,0.5655201,0.7522,0.763714,0.98892,0.033225838,0.8966,0.40820748,0.85436,0.4290617,0.789,0.6907099,0.9933,0.022079743,0.9,0.39208135,0.9901,0.031520195,0.896,0.38578132,0.99936,0.0045161378,0.9143,0.3396317,1.0,0.0005215044,0.9228,0.2889947,1.0,0.0005159978,0.9232,0.28949398
0.75,1.0,0.0005661388,0.9217,0.29350233,0.27372,1.8864617,0.2693,1.9309331,0.8816,0.34199217,0.8087,0.5988938,0.99576,0.015645018,0.9033,0.38050604,0.90882,0.26302457,0.8272,0.57662666,0.9974,0.010804789,0.9051,0.36968258,0.99498,0.017917676,0.9009,0.37245348,0.99954,0.00307561,0.9153,0.33397418,1.0,0.00056611886,0.9217,0.29350173,1.0,0.00055925944,0.9219,0.2936897
0.8,0.99998,0.0006263519,0.9209,0.2990795,0.56846,1.1708429,0.54,1.2960422,0.9443,0.16555217,0.8532,0.47906044,0.9982,0.0069994833,0.9066,0.35912436,0.9562,0.12733687,0.8602,0.48249045,0.9991,0.005209774,0.9089,0.3520792,0.99806,0.008829453,0.9065,0.35948876,0.99982,0.0021152576,0.9163,0.330115,0.99998,0.0006263008,0.9209,0.299086,0.99998,0.0006198716,0.9206,0.2994223
0.85,0.99998,0.0007057926,0.92,0.30573285,0.83904,0.4690513,0.763,0.72842485,0.98118,0.05717027,0.8854,0.40466577,0.99966,0.00330637,0.9109,0.34409,0.98596,0.043485336,0.8892,0.41368735,0.99974,0.0027158852,0.9106,0.34011278,0.99934,0.003920022,0.9111,0.34813327,0.99992,0.0015562583,0.9151,0.32748336,0.99998,0.000705794,0.92,0.305744,0.99998,0.0007001062,0.9197,0.30609137
0.9,0.99998,0.0008093673,0.9182,0.31346485,0.96802,0.09932489,0.8666,0.4539332,0.9968,0.012148187,0.9057,0.36211216,0.99988,0.0018697156,0.913,0.33494872,0.99754,0.009497306,0.9042,0.368066,0.99992,0.0016870974,0.9145,0.33282524,0.99986,0.0018261815,0.9141,0.3387361,0.99994,0.0012553979,0.9151,0.3269819,0.99998,0.00080932124,0.9182,0.31346333,0.99998,0.0007959314,0.918,0.3138611
0.95,0.99996,0.0009437081,0.9165,0.32227662,0.9988,0.0069552856,0.9078,0.35140732,0.99982,0.0020710893,0.914,0.33966213,0.99994,0.0012955832,0.9151,0.33123314,0.99984,0.0018771471,0.914,0.34141904,0.99994,0.0012572499,0.9149,0.33038992,0.99998,0.001159326,0.9159,0.33288294,0.99996,0.0011258125,0.9148,0.328864,0.99996,0.00094368897,0.9164,0.32227206,0.99996,0.00093284517,0.9168,0.3227628
1.0,0.99996,0.0011177422,0.9156,0.33216637,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.0011177311,0.9156,0.33216518,0.99996,0.0011048993,0.9148,0.33262655,0.99996,0.0011174942,0.9156,0.3321812,0.99996,0.0011029324,0.9151,0.33245987,0.99996,0.0011177636,0.9156,0.33216146,0.99996,0.0011028808,0.9151,0.33232808,0.99996,0.0011177646,0.9156,0.33216667,0.99996,0.0011012406,0.9149,0.3324791
