alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses,partial_merging_1.4_train_accs,partial_merging_1.4_train_losses,partial_merging_1.4_test_accs,partial_merging_1.4_test_losses,partial_merging_REPAIR_1.4_train_accs,partial_merging_REPAIR_1.4_train_losses,partial_merging_REPAIR_1.4_test_accs,partial_merging_REPAIR_1.4_test_losses
0.0,1.0,0.00053869287,0.9263,0.27812535,1.0,0.0005386995,0.9263,0.27812937,1.0,0.0005386995,0.9263,0.27812937,1.0,0.00053116883,0.9267,0.27812997,1.0,0.00053839845,0.9263,0.27815163,1.0,0.00053047674,0.9264,0.2781326,1.0,0.00053863757,0.9263,0.27813357,1.0,0.00053006236,0.9266,0.27803922,1.0,0.00053865585,0.9263,0.27813455,1.0,0.00053060794,0.9266,0.27811128,1.0,0.000538399,0.9263,0.27815163,1.0,0.0005297585,0.9267,0.2781023
0.05,1.0,0.00049023266,0.9274,0.27344036,0.99986,0.0039842357,0.9192,0.28549635,1.0,0.0009104947,0.9263,0.2785469,1.0,0.00059481326,0.9268,0.27756983,1.0,0.000793041,0.9256,0.27848136,1.0,0.0005802501,0.9267,0.27776638,1.0,0.00070679607,0.9261,0.27788025,1.0,0.0005668184,0.9267,0.27741098,1.0,0.0006529247,0.9265,0.27657548,1.0,0.00055388914,0.9269,0.27687627,1.0,0.00060877594,0.9262,0.2763089,1.0,0.000541568,0.9271,0.27683425
0.1,1.0,0.00045104817,0.928,0.2692769,0.98104,0.06975111,0.881,0.379911,0.99982,0.004057309,0.9206,0.2931599,1.0,0.00072059396,0.9265,0.27910691,0.99992,0.0026423621,0.9224,0.28956148,1.0,0.0006802812,0.9272,0.27898777,0.99994,0.0018139351,0.9233,0.28559363,1.0,0.00064424984,0.9276,0.27819118,0.99996,0.001346405,0.9247,0.28146693,1.0,0.0006095676,0.9277,0.27702498,1.0,0.001014134,0.9253,0.2791421,1.0,0.0005805244,0.9278,0.27642977
0.15,1.0,0.0004194121,0.9285,0.26563507,0.87268,0.39082658,0.7875,0.65811837,0.99508,0.020709343,0.9058,0.3248424,1.0,0.00097113353,0.9258,0.2828086,0.99832,0.011420398,0.9122,0.31263557,1.0,0.00087324006,0.9264,0.2820193,0.99938,0.006398702,0.9159,0.30158323,1.0,0.00079347874,0.9274,0.28035647,0.99984,0.0038362376,0.9183,0.29268932,1.0,0.0007126725,0.9274,0.27829757,0.99994,0.0022306407,0.9208,0.28629115,1.0,0.0006551968,0.9281,0.27710032
0.2,1.0,0.0003940071,0.929,0.2625119,0.66168,1.0367873,0.6103,1.1933057,0.97892,0.070148006,0.8856,0.37868512,1.0,0.0014845551,0.9247,0.2891876,0.99012,0.038252816,0.8987,0.34984896,0.99998,0.0012505982,0.927,0.28688854,0.99538,0.020220721,0.9067,0.3264018,0.99998,0.0010612302,0.9272,0.28410724,0.99818,0.010931442,0.9123,0.3097746,1.0,0.0008938913,0.9283,0.28049964,0.9995,0.0053168912,0.9162,0.29676235,1.0,0.00077582226,0.9283,0.2785752
0.25,1.0,0.000373825,0.9301,0.2599021,0.45146,1.7418249,0.4221,1.8063755,0.94342,0.16403091,0.8577,0.45842004,0.99988,0.002605045,0.9242,0.29786235,0.97054,0.09237361,0.8777,0.40269879,0.99992,0.0020064318,0.9251,0.29340598,0.98634,0.049019884,0.8935,0.3604659,0.99994,0.0015499253,0.9269,0.28882158,0.99352,0.025755543,0.9025,0.33231625,1.0,0.0011987141,0.9276,0.2838488,0.99796,0.011546653,0.9119,0.31001624,1.0,0.0009680575,0.9276,0.28072757
0.3,1.0,0.00035810555,0.9308,0.25780013,0.25168,2.2057998,0.2367,2.2241511,0.89762,0.29472375,0.822,0.56155926,0.99924,0.0049316846,0.9217,0.3090817,0.9406,0.17205499,0.8542,0.4690652,0.99954,0.0034529727,0.9226,0.3012392,0.96996,0.09357471,0.8798,0.40250817,0.99986,0.002386506,0.9259,0.2944235,0.98632,0.049205232,0.8947,0.35904154,0.99992,0.001689303,0.9266,0.28784963,0.99502,0.021310125,0.9067,0.32478756,0.99998,0.0012488507,0.9275,0.283387
0.35,1.0,0.00034627775,0.9312,0.25620216,0.13984,2.3654218,0.1343,2.3689287,0.84888,0.44016272,0.7837,0.6765265,0.99774,0.009144447,0.9178,0.3219338,0.90862,0.2637937,0.831,0.54101807,0.99884,0.00585496,0.9201,0.3097301,0.94974,0.14758568,0.8627,0.44830135,0.9995,0.0036666498,0.9237,0.30099833,0.97588,0.078436084,0.8841,0.38728803,0.9998,0.002374506,0.9258,0.29229015,0.99142,0.033442747,0.9019,0.33949226,0.99996,0.0016114819,0.9274,0.28634977
0.4,1.0,0.00033792751,0.9305,0.25510764,0.1,2.38564,0.1,2.3861895,0.8054,0.5730868,0.75,0.78375685,0.99584,0.015128807,0.9147,0.3340956,0.87822,0.34844825,0.8097,0.60648906,0.99798,0.0090851905,0.9186,0.318138,0.93104,0.1996319,0.847,0.49020752,0.999,0.0052665146,0.922,0.30719113,0.96522,0.10725698,0.8754,0.41277057,0.99958,0.0031740589,0.9235,0.29670656,0.9876,0.04523239,0.8964,0.35193592,0.99986,0.0019951188,0.9258,0.28937265
0.45000002,1.0,0.0003327694,0.9301,0.25451905,0.1,2.3803542,0.1,2.3804262,0.7739,0.66722715,0.724,0.86135906,0.99376,0.020795217,0.9132,0.3432841,0.85812,0.40757096,0.7931,0.652247,0.99682,0.012059121,0.9168,0.32452628,0.91712,0.23731318,0.8363,0.52013946,0.99846,0.00670496,0.92,0.31183726,0.95688,0.12846419,0.8684,0.4308241,0.99948,0.003855388,0.9224,0.30000833,0.9846,0.05355816,0.8926,0.36003458,0.99982,0.0022865336,0.926,0.29163882
0.5,1.0,0.00033062563,0.9302,0.25444105,0.1,2.3767242,0.1,2.3767514,0.76168,0.7027451,0.7156,0.89174795,0.99286,0.02307589,0.9126,0.34651193,0.85108,0.4275783,0.7878,0.66764617,0.99648,0.01338941,0.9165,0.3265078,0.91158,0.25117004,0.8328,0.531492,0.99844,0.0072902837,0.9196,0.31370178,0.95376,0.13643703,0.8648,0.43810794,0.99938,0.004122992,0.9224,0.30161577,0.98346,0.05598628,0.8923,0.3625288,0.99982,0.0023883907,0.9258,0.29257548
0.55,1.0,0.0003314177,0.9304,0.2548787,0.1,2.381612,0.1,2.3816977,0.77082,0.67018193,0.723,0.86652035,0.9935,0.020674994,0.9111,0.34337786,0.85844,0.40354818,0.7932,0.6486699,0.99672,0.012180361,0.9173,0.32429177,0.91658,0.23729837,0.8361,0.5214946,0.99858,0.006778367,0.9207,0.31249657,0.95716,0.12881146,0.8666,0.4329441,0.99948,0.0038610303,0.9231,0.3013377,0.9849,0.051829807,0.8929,0.35896167,0.99988,0.0022543513,0.9265,0.29252997
0.6,1.0,0.0003351571,0.9304,0.25583526,0.09656,2.3989377,0.0963,2.3994787,0.8015,0.57556516,0.7453,0.79130375,0.99572,0.015005485,0.9138,0.33475226,0.8793,0.34086344,0.8101,0.60012984,0.99782,0.009175693,0.9183,0.31886616,0.9302,0.19904114,0.8448,0.49293125,0.99902,0.0053404877,0.9207,0.30907896,0.96462,0.107768476,0.874,0.4170286,0.9997,0.0031615922,0.924,0.29914212,0.98778,0.042398576,0.8951,0.35032666,0.9999,0.0019315567,0.9268,0.29152092
0.65,1.0,0.00034195295,0.9303,0.25731194,0.10174,2.4062898,0.1027,2.409627,0.84522,0.43799654,0.7823,0.68289065,0.99796,0.009116757,0.9176,0.32320014,0.91096,0.25337344,0.8332,0.5331842,0.99902,0.0058842557,0.9201,0.31108722,0.94984,0.14573339,0.8613,0.4521083,0.9995,0.0036907655,0.9222,0.30369884,0.97534,0.078695446,0.8811,0.3933342,0.99986,0.002346722,0.9249,0.29580352,0.99256,0.030301662,0.9002,0.33798048,0.99996,0.0015449573,0.9262,0.2892813
0.7,1.0,0.00035200658,0.9294,0.25930834,0.138,2.2593946,0.1373,2.277175,0.89772,0.2870621,0.8212,0.56604785,0.99928,0.0048925485,0.9186,0.31106627,0.94496,0.16094135,0.8583,0.4617338,0.99964,0.0033905937,0.9216,0.30280325,0.9713,0.090684764,0.8755,0.40705553,0.99978,0.002375049,0.9234,0.2973856,0.98564,0.049066532,0.8915,0.36614493,0.99996,0.0016547214,0.9246,0.29165453,0.99628,0.018672684,0.9042,0.32395586,0.99998,0.0011919672,0.9262,0.28647262
0.75,1.0,0.0003656308,0.9298,0.2618236,0.37456,1.7248936,0.3597,1.7909296,0.94784,0.15429153,0.8602,0.46225142,0.99988,0.002559932,0.9215,0.30005604,0.97422,0.083531804,0.8794,0.39791876,0.9999,0.001948276,0.9231,0.294887,0.98742,0.04618693,0.8914,0.36484468,0.99996,0.0015106465,0.9242,0.29159972,0.99412,0.025351238,0.9004,0.3395087,0.99998,0.001176343,0.9249,0.28730065,0.99848,0.009836612,0.91,0.31020632,0.99998,0.00092821976,0.9269,0.28373712
0.8,1.0,0.00038326456,0.929,0.26485744,0.6892,0.9313011,0.6355,1.09351,0.98132,0.06293642,0.8837,0.38310054,0.99996,0.0014427202,0.923,0.291216,0.99226,0.033348605,0.897,0.3475597,0.99998,0.0012051237,0.9233,0.2883347,0.99646,0.018469643,0.903,0.33011764,0.99998,0.0010226938,0.9246,0.28642827,0.99832,0.010609021,0.9086,0.31631842,1.0,0.0008721317,0.9251,0.2835124,0.99964,0.0045064343,0.9169,0.2979554,1.0,0.0007439639,0.9266,0.2811719
0.85,1.0,0.00040549424,0.9281,0.26841104,0.89772,0.31786683,0.811,0.5901571,0.99678,0.017803313,0.904,0.3291944,1.0,0.00093458936,0.924,0.28510725,0.99864,0.009780333,0.9098,0.31221437,1.0,0.00083643285,0.9247,0.28396192,0.99956,0.005812483,0.9137,0.3045054,1.0,0.00075752236,0.9247,0.28296328,0.99974,0.0037156718,0.9161,0.29839537,1.0,0.0006886656,0.9255,0.28104267,0.99996,0.0019403317,0.9202,0.28846666,1.0,0.0006247599,0.9267,0.27964255
0.9,1.0,0.00043309387,0.9276,0.27248782,0.98744,0.053523302,0.8876,0.36377066,0.99988,0.0035841276,0.9167,0.29698482,1.0,0.0006891465,0.9251,0.28191644,0.99996,0.002350661,0.9196,0.290905,1.0,0.00064463954,0.926,0.281356,0.99998,0.0016933633,0.9214,0.28833824,1.0,0.0006122729,0.9263,0.2808684,0.99998,0.001304389,0.9223,0.28657278,1.0,0.0005806847,0.9266,0.28007364,1.0,0.00092161866,0.9231,0.28250235,1.0,0.0005541851,0.9264,0.27934784
0.95,1.0,0.00046706398,0.9268,0.27709335,0.99992,0.0033732594,0.9179,0.28602988,1.0,0.0008454815,0.9232,0.28227058,1.0,0.0005656658,0.9263,0.28082535,1.0,0.0007416,0.9248,0.28134224,1.0,0.00054904603,0.9266,0.2805894,1.0,0.00067787804,0.9249,0.28104448,1.0,0.0005395354,0.9266,0.28043914,1.0,0.0006299824,0.9246,0.28099018,1.0,0.0005289566,0.9266,0.2802475,1.0,0.00057312346,0.925,0.28028932,1.0,0.0005191747,0.9263,0.2799475
1.0,1.0,0.0005086971,0.9262,0.282234,1.0,0.0005086968,0.9262,0.28223273,1.0,0.00050865917,0.9263,0.2822252,1.0,0.00050823356,0.9262,0.28170726,1.0,0.00050864596,0.9263,0.28222272,1.0,0.00051341363,0.9263,0.28166524,1.0,0.00050869683,0.9262,0.2822214,1.0,0.0005103869,0.9262,0.28159606,1.0,0.00050867465,0.9262,0.28222972,1.0,0.0005091014,0.9261,0.28164932,1.0,0.0005086475,0.9263,0.2822238,1.0,0.00050910405,0.9263,0.28150004
