alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses
0.0,1.0,0.00089937507,0.933,0.28044456,1.0,0.0008993914,0.933,0.28044817,1.0,0.0008993914,0.933,0.28044817,1.0,0.00087340915,0.9326,0.2798166,1.0,0.00089954166,0.933,0.28043523,1.0,0.0008696377,0.9325,0.2798482,1.0,0.0008993905,0.933,0.28044817,1.0,0.00086959597,0.9327,0.2797414
0.05,1.0,0.0007811542,0.934,0.2714806,0.99808,0.00874139,0.9197,0.296803,0.99974,0.0022758532,0.9287,0.28858316,1.0,0.0010331036,0.9326,0.28084704,0.99984,0.0018098451,0.9292,0.2877445,1.0,0.0010055955,0.9329,0.28010514,0.99992,0.0014345204,0.9302,0.28632846,1.0,0.0009767244,0.9323,0.2798546
0.1,1.0,0.0006896664,0.9356,0.2633595,0.94836,0.15268497,0.8675,0.43040058,0.99368,0.021317968,0.9139,0.32310662,0.99996,0.0014705985,0.9308,0.2847705,0.99658,0.013153026,0.9179,0.31523272,0.99994,0.0013783632,0.9319,0.28388795,0.99822,0.0075497027,0.9206,0.30588904,0.99996,0.0012575203,0.9325,0.28223446
0.15,1.0,0.0006189987,0.9359,0.25608355,0.73804,0.7463675,0.7011,0.9014891,0.9606,0.11307997,0.8853,0.40216243,0.99978,0.0025831636,0.9287,0.29309198,0.9765,0.06849849,0.8978,0.37174314,0.99974,0.0022932207,0.93,0.29134133,0.9886,0.03649589,0.9085,0.34293187,0.9999,0.0019302844,0.9291,0.28764644
0.2,1.0,0.00056464964,0.9372,0.24965684,0.3686,1.7353461,0.356,1.7886139,0.88552,0.3265485,0.8296,0.55908597,0.99874,0.005557076,0.9266,0.30510917,0.92704,0.20649888,0.8588,0.47602892,0.99918,0.004547939,0.9269,0.30246192,0.96054,0.11354724,0.8833,0.40681186,0.99944,0.00352888,0.9269,0.29652873
0.25,1.0,0.0005232559,0.9387,0.24408892,0.17416,2.3648286,0.1693,2.3769586,0.77606,0.6652912,0.7468,0.82219553,0.9958,0.013029048,0.9212,0.3213939,0.84984,0.4327061,0.8007,0.64228654,0.997,0.010003515,0.9248,0.31728753,0.91242,0.24783304,0.8491,0.50396526,0.9982,0.007107731,0.9254,0.30921414
0.3,1.0,0.0004923483,0.9393,0.23939542,0.10356,2.5046508,0.1042,2.506272,0.64868,1.0911382,0.6264,1.1887053,0.98982,0.029307865,0.9165,0.3427327,0.76062,0.72218764,0.731,0.87011015,0.99304,0.021350574,0.9194,0.33447564,0.85388,0.42473012,0.8027,0.63316727,0.99574,0.014060989,0.9223,0.3230768
0.35,1.0,0.0004701551,0.9396,0.23559764,0.1,2.5024147,0.1,2.5026925,0.51952,1.518005,0.5085,1.5796195,0.9798,0.057547294,0.911,0.36872575,0.66764,1.0284675,0.6479,1.1299376,0.9865,0.04039276,0.9138,0.35396785,0.79306,0.61487365,0.7547,0.7793247,0.99166,0.02545275,0.92,0.3376619
0.4,1.0,0.00045544564,0.9402,0.23272102,0.1,2.500216,0.1,2.500293,0.42792,1.8525221,0.421,1.894337,0.96828,0.09454019,0.9038,0.39693853,0.58774,1.2905278,0.5712,1.3639234,0.97808,0.065230094,0.9095,0.3746833,0.74326,0.7815629,0.7141,0.9142208,0.9861,0.039873395,0.9165,0.35068893
0.45000002,1.0,0.00044742823,0.9408,0.23079088,0.1,2.5047145,0.1,2.504716,0.38084,2.0506182,0.371,2.0817866,0.95812,0.12774488,0.8974,0.41938403,0.53834,1.4596173,0.5275,1.5189064,0.9703,0.08786249,0.904,0.389764,0.71144,0.8902913,0.6882,1.004567,0.9814,0.05277921,0.9125,0.36049217
