alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.9999,0.0007929574,0.9337,0.30378026,0.9999,0.00079295185,0.9337,0.30377814,0.9999,0.00079295185,0.9337,0.30377814,0.99992,0.00076304335,0.9332,0.3031563,0.9999,0.0007929594,0.9336,0.30378294,0.99992,0.0007627592,0.9332,0.3029878,0.9999,0.00079283555,0.9337,0.3037772,0.99992,0.0007646103,0.9333,0.30300325,0.9999,0.00079297344,0.9336,0.3037864,0.99992,0.0007661364,0.9335,0.3029758,0.9999,0.00079289527,0.9337,0.3037773,0.99992,0.0007632424,0.9333,0.30286783
0.05,0.99994,0.0007143414,0.9351,0.29240862,0.99692,0.012085573,0.9189,0.3128164,0.9998,0.0022570472,0.9309,0.2939685,0.99994,0.0008530924,0.9335,0.3014817,0.99972,0.0022422706,0.9307,0.29125756,0.99992,0.00086602377,0.9336,0.29927567,0.99976,0.0025250774,0.9308,0.28467888,0.99992,0.0010473612,0.9338,0.29298455,0.99978,0.002613594,0.9314,0.2742952,0.99994,0.0012468061,0.9332,0.28724524,0.9999,0.0025010828,0.9323,0.2702096,0.99992,0.0015580831,0.9332,0.28015247
0.1,0.99996,0.00065136707,0.9367,0.28199932,0.90964,0.26961306,0.8378,0.53508735,0.99258,0.025110563,0.9134,0.33039925,0.99984,0.0011645141,0.9322,0.30386004,0.9934,0.022398971,0.9146,0.32165962,0.99992,0.0011360322,0.9316,0.29960823,0.99378,0.02271262,0.9146,0.31111437,0.9999,0.0015509696,0.9307,0.28734064,0.9963,0.01882275,0.9182,0.28705505,0.9999,0.0020886003,0.9326,0.2750967,0.99848,0.013185886,0.9238,0.26923162,0.99992,0.003126118,0.9335,0.26037177
0.15,0.99998,0.0006019496,0.9384,0.27261895,0.60422,1.1738393,0.578,1.2719107,0.94782,0.15172641,0.8736,0.4339388,0.99962,0.0020247137,0.9299,0.31116062,0.95542,0.13248439,0.8803,0.4141071,0.99972,0.0019019417,0.9299,0.30491728,0.95514,0.13910635,0.877,0.40697,0.99974,0.0025649336,0.9302,0.2863581,0.96556,0.12195356,0.8845,0.37421778,0.99988,0.003529075,0.9309,0.2673732,0.98534,0.072781034,0.9025,0.31976846,0.99992,0.0060194535,0.9341,0.24431221
0.2,0.99998,0.0005639042,0.9393,0.2643369,0.19432,2.1622674,0.1898,2.1854844,0.8429,0.46358877,0.7934,0.66215605,0.99886,0.0046162223,0.9268,0.32385916,0.8586,0.41460624,0.8059,0.6212105,0.99888,0.004366559,0.9258,0.31568524,0.84892,0.45719784,0.7949,0.64402026,0.99934,0.004916496,0.9257,0.29085115,0.86362,0.4573726,0.7966,0.63802207,0.99976,0.0059317476,0.9289,0.26482671,0.93274,0.28093702,0.8535,0.48367754,0.99998,0.010825963,0.9351,0.23252216
0.25,1.0,0.0005351571,0.9399,0.25722218,0.10138,2.4867363,0.1018,2.4906836,0.67252,0.96878916,0.6434,1.07855,0.9962,0.012136847,0.9225,0.34296075,0.69798,0.8878484,0.6683,1.0071765,0.99648,0.011474675,0.9212,0.33302417,0.64758,1.0387038,0.6144,1.1369251,0.99746,0.010966682,0.9221,0.30238354,0.64564,1.1172246,0.6123,1.2030661,0.99934,0.0100602545,0.9256,0.26796615,0.80546,0.7525884,0.751,0.87559325,0.99998,0.018051226,0.9359,0.22552831
0.3,1.0,0.00051390735,0.9408,0.2513396,0.1,2.4707634,0.1,2.4714031,0.44768,1.5628135,0.4379,1.6134933,0.99028,0.030001644,0.9162,0.37004423,0.4759,1.4646167,0.4627,1.5208545,0.99014,0.028699175,0.9145,0.35753947,0.33416,1.7572963,0.3319,1.7958376,0.99214,0.02575989,0.916,0.3232593,0.33248,1.8299955,0.3235,1.8622873,0.99802,0.01752234,0.9203,0.27764454,0.54224,1.436083,0.5214,1.4914355,0.99998,0.027474131,0.9376,0.2232394
0.35,1.0,0.00049869815,0.9426,0.24674585,0.1,2.4097924,0.1,2.4099803,0.26762,2.0416086,0.2644,2.0656533,0.97916,0.06411422,0.9082,0.4024378,0.29088,1.946141,0.2858,1.9724487,0.97994,0.061096434,0.9062,0.39113078,0.15062,2.2788508,0.1472,2.2952487,0.98236,0.05494252,0.9076,0.35505268,0.142,2.2304316,0.1398,2.2420943,0.9947,0.031045372,0.9152,0.29363286,0.21176,1.9954926,0.2086,2.015228,1.0,0.038119353,0.9395,0.22459367
0.4,1.0,0.000488417,0.9435,0.24348696,0.1,2.3698175,0.1,2.3698533,0.18676,2.3213048,0.1833,2.3349326,0.96576,0.11198213,0.8994,0.43896165,0.20342,2.2365298,0.2002,2.2513964,0.96724,0.105097115,0.8992,0.42901683,0.11048,2.5221047,0.1092,2.530352,0.96854,0.09791201,0.8957,0.39284125,0.10312,2.3739383,0.103,2.3778737,0.98744,0.05193135,0.9094,0.31240463,0.10562,2.2612634,0.1055,2.2665858,1.0,0.048300676,0.9415,0.22802329
0.45000002,1.0,0.00048225775,0.9432,0.24159639,0.1,2.3498564,0.1,2.3498666,0.1594,2.4473455,0.1548,2.4569037,0.95482,0.15547977,0.8939,0.4677275,0.17218,2.3697526,0.1669,2.380305,0.9567,0.14495346,0.893,0.46014085,0.10332,2.607685,0.1029,2.612513,0.95608,0.13989998,0.8867,0.427152,0.10002,2.4119093,0.1,2.4135122,0.97982,0.0740909,0.9043,0.32838714,0.1,2.3421774,0.1,2.3433383,1.0,0.055671487,0.9431,0.23117904
