alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,0.99905,0.005342193,0.9893,0.03702194,0.99905,0.0053421925,0.9893,0.03702194,0.99905,0.005342193,0.9893,0.03702194,0.99908334,0.005293823,0.9892,0.03727093,0.99905,0.0053421822,0.9893,0.03702194,0.99908334,0.005296676,0.9894,0.037279602,0.99905,0.0053421925,0.9893,0.037021935,0.99908334,0.005295022,0.9893,0.03730901
0.05,0.99916667,0.0049429745,0.9896,0.03537435,0.99715,0.011077863,0.9878,0.04087917,0.99841666,0.007076884,0.9891,0.037896246,0.9986333,0.006073292,0.9892,0.037997752,0.9985333,0.0065719215,0.9889,0.036968302,0.99866664,0.0059006144,0.9893,0.037632663,0.99901664,0.00558975,0.9895,0.036269948,0.999,0.0053474735,0.9892,0.03654942
0.1,0.99915,0.0046288455,0.9898,0.033972777,0.98866665,0.03712701,0.9792,0.06666185,0.99666667,0.011611862,0.9885,0.041621033,0.9977667,0.008343125,0.9887,0.04059486,0.9973,0.009696143,0.9883,0.039186027,0.99803334,0.0076253735,0.9885,0.039400127,0.99868333,0.0063584773,0.989,0.036349468,0.99878335,0.0058234297,0.9884,0.03661868
0.15,0.99925,0.0043829125,0.99,0.032794304,0.9543667,0.13403432,0.9473,0.1593866,0.99375,0.019680005,0.9859,0.04834457,0.99586666,0.012402203,0.9874,0.044764336,0.99543333,0.015128191,0.9864,0.043696247,0.9965,0.01063437,0.9883,0.04261434,0.99806666,0.007570468,0.9896,0.036931004,0.99838334,0.006629271,0.9888,0.036889598
0.2,0.9993,0.004192652,0.9901,0.031820092,0.86315,0.37116662,0.8621,0.3842241,0.9896167,0.031896766,0.9828,0.059017036,0.99376667,0.018201599,0.9865,0.050599054,0.99235,0.023084061,0.9842,0.050460786,0.99475,0.014840716,0.9869,0.047010176,0.9974333,0.009149969,0.9889,0.037875395,0.99778336,0.0077323127,0.9885,0.03744728
0.25,0.99935,0.004048878,0.99,0.031035414,0.7802333,0.7154386,0.7839,0.71276593,0.98441666,0.048343502,0.9782,0.07389778,0.9913833,0.02558876,0.9842,0.057513956,0.9885833,0.0334946,0.9813,0.059475526,0.99296665,0.02016955,0.9853,0.051965058,0.99653333,0.0109749595,0.9883,0.03908462,0.9970667,0.009043512,0.9882,0.03807159
0.3,0.9994,0.003944942,0.9902,0.030430311,0.69553334,1.1077994,0.7073,1.0889621,0.9776667,0.06798717,0.9727,0.09194758,0.9889,0.033872303,0.9827,0.0654939,0.98501664,0.045485325,0.9786,0.06994274,0.991,0.026256422,0.9837,0.057376627,0.99576664,0.012849448,0.9877,0.04031478,0.9967167,0.010424555,0.9884,0.03889801
0.35,0.99945,0.0038761434,0.9904,0.030000065,0.60971665,1.5015084,0.6239,1.4694428,0.9709,0.08796038,0.966,0.11075568,0.98651665,0.042324442,0.9808,0.07287494,0.9811,0.05758694,0.976,0.08039425,0.98938334,0.03230127,0.982,0.06244062,0.99506664,0.014618068,0.9871,0.041372705,0.99626666,0.011763378,0.9877,0.03951922
0.4,0.99948335,0.003839294,0.9906,0.029744353,0.5254667,1.8399469,0.5302,1.8018429,0.96458334,0.10494394,0.9599,0.12674068,0.98436666,0.04968601,0.9788,0.07874192,0.97793335,0.06781249,0.973,0.08938275,0.98768336,0.037784647,0.9806,0.066850096,0.9946167,0.016012557,0.987,0.0422241,0.9958,0.012859967,0.9876,0.040091846
0.45000002,0.99943334,0.0038324187,0.9905,0.02966497,0.46438333,2.0614252,0.4688,2.0241816,0.9612167,0.11594899,0.9571,0.13731278,0.9831,0.054675404,0.9776,0.082590014,0.97585,0.07433155,0.9714,0.09519346,0.98651665,0.041628335,0.9802,0.0701492,0.99431664,0.016846176,0.9869,0.042882383,0.99543333,0.013589064,0.9873,0.04059709
0.5,0.9994,0.0038545772,0.9911,0.029763903,0.44273335,2.124585,0.446,2.0919383,0.9601,0.1193431,0.9553,0.14073266,0.9827,0.056856405,0.9769,0.08395421,0.97541666,0.076326974,0.9709,0.09677887,0.9863667,0.043204702,0.9798,0.07146887,0.9942333,0.017103115,0.9865,0.043123275,0.99543333,0.013895687,0.9873,0.040730715
0.55,0.9994,0.0039057685,0.9907,0.03004359,0.46738333,2.0161593,0.469,1.9886167,0.96181667,0.11453743,0.9578,0.13637704,0.98301667,0.05539079,0.9769,0.082635365,0.9763,0.07351228,0.9712,0.09406877,0.98665,0.042279854,0.9791,0.07071374,0.9943,0.01672435,0.9863,0.043015696,0.9954,0.013728656,0.9878,0.04085365
0.6,0.9994,0.003986927,0.9907,0.030508464,0.53463334,1.7602313,0.5385,1.7380028,0.9663333,0.102298915,0.9607,0.12509875,0.98436666,0.05048874,0.9784,0.078986466,0.9787833,0.06645983,0.9732,0.08766824,0.98733336,0.039017018,0.9801,0.06846413,0.99478334,0.015840821,0.9867,0.042647447,0.9956833,0.01310795,0.9878,0.040599212
