alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses
0.0,1.0,0.00014344505,0.9913,0.027053392,1.0,0.00014344505,0.9913,0.027053392,1.0,0.00014344505,0.9913,0.027053392,1.0,0.00014442693,0.9913,0.027020099,1.0,0.00014341198,0.9913,0.027049191,1.0,0.00014445187,0.9913,0.027052231
0.05,1.0,0.00013854694,0.9915,0.026825089,1.0,0.0006149796,0.9908,0.028161155,0.9999833,0.00021911402,0.9914,0.026700377,1.0,0.00016370571,0.9914,0.027016522,1.0,0.00020617612,0.9918,0.02677302,1.0,0.00016065194,0.9914,0.027121479
0.1,1.0,0.00013438662,0.9915,0.026628777,0.99903333,0.0052777017,0.9876,0.038563747,0.9999833,0.00040323258,0.991,0.027240746,0.9999833,0.00021260594,0.9915,0.027413277,0.9999833,0.0003484386,0.991,0.027254688,0.9999833,0.00020322415,0.9917,0.02752122
0.15,1.0,0.00013089305,0.9917,0.026463976,0.9866833,0.038279563,0.9738,0.07876383,0.9999833,0.0008168435,0.9906,0.028645739,0.9999833,0.00031161125,0.9917,0.028007215,0.9999833,0.0006465556,0.991,0.028435567,0.9999833,0.00028343097,0.9914,0.02821465
0.2,1.0,0.00012801023,0.9919,0.026330251,0.9209833,0.1914557,0.9129,0.23473251,0.9997,0.0016707153,0.9894,0.030853404,0.9999833,0.00050338125,0.9915,0.029075304,0.99988335,0.0012247028,0.9904,0.030192338,0.9999833,0.0004286197,0.9916,0.029141692
0.25,1.0,0.00012569323,0.9921,0.026227167,0.81831664,0.5537652,0.8128,0.5920025,0.99925,0.0031400076,0.9886,0.033515014,0.99983335,0.0008359401,0.9912,0.030237362,0.9996167,0.0021929296,0.9896,0.03224946,0.99988335,0.0006790857,0.9916,0.03014976
0.3,1.0,0.00012390579,0.9918,0.026154306,0.71865,1.0659223,0.7217,1.0899428,0.99836665,0.0052477405,0.9881,0.0364774,0.9995833,0.0013260127,0.9909,0.031463087,0.99906665,0.003557227,0.9887,0.03450214,0.99975,0.001032608,0.9913,0.03127919
0.35,1.0,0.00012262091,0.9917,0.02611126,0.5631667,1.6911023,0.5739,1.6926451,0.99738336,0.0077326046,0.9871,0.03934738,0.9994,0.001930844,0.9904,0.032545853,0.9984,0.005137186,0.9886,0.036639538,0.9995833,0.0014509493,0.9913,0.03226743
0.4,1.0,0.00012181865,0.9917,0.026097652,0.39593333,2.35057,0.4139,2.3326786,0.9964,0.010123668,0.986,0.041785795,0.99911666,0.0025506704,0.9903,0.033596203,0.99785,0.0066287587,0.9876,0.03845565,0.99946666,0.0018558059,0.991,0.03301079
0.45000002,1.0,0.00012148537,0.9917,0.026113182,0.28976667,2.8666482,0.3028,2.838366,0.9957,0.0118713,0.9856,0.04349044,0.99903333,0.0030121137,0.9903,0.034211144,0.99745,0.0076901685,0.9872,0.039707594,0.99935,0.0021382917,0.991,0.033538394
0.5,1.0,0.0001216137,0.9916,0.026157629,0.25506666,3.0744758,0.2631,3.0428903,0.99535,0.012535578,0.9854,0.04420386,0.9989333,0.0031960956,0.9904,0.03465329,0.99728334,0.00804738,0.9869,0.040177356,0.9993,0.002239761,0.9911,0.0337109
0.55,1.0,0.00012220208,0.9918,0.026230905,0.28253335,2.9061737,0.2936,2.8760514,0.9956333,0.011964433,0.9853,0.04386394,0.99903333,0.0030281828,0.9903,0.03489122,0.99738336,0.007623759,0.9869,0.03984691,0.99935,0.0021277135,0.9912,0.033653934
0.6,1.0,0.00012325542,0.9915,0.026333028,0.3799,2.4095778,0.3966,2.3877597,0.9963667,0.010295065,0.9857,0.04249986,0.99915,0.0025862022,0.991,0.034522768,0.99801666,0.0065178922,0.9873,0.03875417,0.99943334,0.0018144922,0.9915,0.033312704
0.65,1.0,0.00012478285,0.9917,0.026464168,0.5391667,1.7416946,0.5534,1.7369525,0.99738336,0.007940949,0.9867,0.040353425,0.9994,0.001990292,0.991,0.03386425,0.99855,0.005007351,0.9878,0.037062243,0.9996167,0.0014207624,0.9916,0.032660846
