alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,1.0,4.3464206e-05,0.9922,0.029137138,1.0,4.3464213e-05,0.9922,0.02913714,1.0,4.3464213e-05,0.9922,0.02913714,1.0,4.3845783e-05,0.9921,0.029375128,1.0,4.3473294e-05,0.9922,0.029137038,1.0,4.4813383e-05,0.9918,0.029294448,1.0,4.3453216e-05,0.9922,0.029132836,1.0,4.414831e-05,0.9922,0.028865369,1.0,4.346364e-05,0.9922,0.02913653,1.0,4.350023e-05,0.992,0.028989675,1.0,4.3446493e-05,0.9922,0.029142246,1.0,4.381615e-05,0.9918,0.029272523
0.05,1.0,4.014872e-05,0.9924,0.028526139,1.0,0.000596153,0.9911,0.029498976,1.0,9.0200614e-05,0.9918,0.028916098,1.0,5.0145016e-05,0.9919,0.029682953,1.0,7.995008e-05,0.9919,0.02856142,1.0,4.915263e-05,0.9921,0.029759662,1.0,5.3522806e-05,0.9923,0.028587826,1.0,4.384601e-05,0.9923,0.029518155,1.0,4.4582026e-05,0.9922,0.028384687,1.0,4.2097403e-05,0.9923,0.028871488,1.0,4.0140087e-05,0.9923,0.028524999,1.0,3.958832e-05,0.992,0.02873306
0.1,1.0,3.7467085e-05,0.9922,0.027982619,0.9959,0.013703813,0.9837,0.051301185,1.0,0.0003908027,0.9913,0.030960863,1.0,8.511336e-05,0.992,0.032107048,1.0,0.00025749631,0.9915,0.029722085,1.0,8.223553e-05,0.9925,0.03089005,1.0,8.053203e-05,0.9921,0.028617604,1.0,5.289627e-05,0.9928,0.029880503,1.0,4.7516627e-05,0.9925,0.027748283,1.0,4.2794243e-05,0.9925,0.02837619,1.0,3.7465892e-05,0.9922,0.027984668,1.0,3.785785e-05,0.9923,0.027824108
0.15,1.0,3.5300618e-05,0.9925,0.027505308,0.95045,0.12394523,0.9424,0.16403636,0.9993333,0.0021445348,0.9897,0.035933048,0.9999833,0.0002054587,0.9924,0.033986848,0.9997333,0.0011288036,0.9911,0.032960247,0.9999833,0.00018238174,0.9923,0.03267642,1.0,0.00014236235,0.9922,0.029074276,1.0,7.568597e-05,0.9927,0.030197889,1.0,5.2219693e-05,0.9926,0.027269512,1.0,4.4686472e-05,0.9926,0.02802191,1.0,3.5289497e-05,0.9925,0.02750938,1.0,3.520237e-05,0.9922,0.027410962
0.2,1.0,3.3560904e-05,0.9927,0.027093863,0.8078,0.5023233,0.8006,0.53533787,0.9971833,0.007874492,0.9867,0.044631496,0.99981666,0.0005899882,0.9915,0.037372362,0.99871665,0.0040188828,0.9893,0.038629122,0.99985,0.00047101398,0.992,0.034662526,0.9999667,0.00027873766,0.9918,0.02980529,1.0,0.00011787561,0.9928,0.03098847,1.0,5.8323076e-05,0.9928,0.026904095,1.0,4.8316975e-05,0.9925,0.027828041,1.0,3.354745e-05,0.9927,0.027098924,1.0,3.4278804e-05,0.9926,0.027378345
0.25,1.0,3.2180727e-05,0.9928,0.026748737,0.65845,1.079498,0.662,1.0961729,0.99291664,0.019489596,0.9844,0.05711117,0.9994,0.0016869206,0.9908,0.04190762,0.9965,0.010176975,0.9874,0.04645472,0.9997,0.0011569454,0.9912,0.03723408,0.99993336,0.0005427888,0.9915,0.030836225,0.9999667,0.00018047751,0.9928,0.031683102,1.0,6.538381e-05,0.9929,0.026619164,1.0,5.4729055e-05,0.993,0.027789766,1.0,3.218697e-05,0.9928,0.02675374,1.0,3.284395e-05,0.993,0.026415447
0.3,1.0,3.11098e-05,0.9927,0.026470846,0.43436667,1.769921,0.4445,1.7661185,0.9878833,0.036609568,0.9799,0.07296224,0.9985,0.0037382944,0.989,0.046376288,0.9927,0.019864472,0.9845,0.056044556,0.99918336,0.002527909,0.9903,0.040578026,0.99978334,0.000951753,0.9917,0.032095212,0.99995,0.00027217233,0.9924,0.032358978,1.0,7.2608294e-05,0.9928,0.026415175,1.0,5.7067555e-05,0.9929,0.027452147,1.0,3.1100368e-05,0.9927,0.026473852,1.0,3.159481e-05,0.993,0.026402475
0.35,1.0,3.0311056e-05,0.9929,0.026261229,0.2261,2.4422345,0.2361,2.4280064,0.98233336,0.056580037,0.9749,0.0906955,0.99738336,0.006903015,0.988,0.05167025,0.98915,0.031704023,0.9816,0.06643098,0.9985,0.004442711,0.9891,0.043216202,0.9996667,0.001463493,0.9907,0.03345671,0.99986666,0.0003915964,0.9924,0.0329432,1.0,7.9126214e-05,0.9928,0.026304618,1.0,6.3811895e-05,0.9927,0.027385266,1.0,3.0309346e-05,0.9929,0.02626816,1.0,3.0349474e-05,0.9932,0.026326537
0.4,1.0,2.9756682e-05,0.993,0.026121039,0.11661667,2.9404917,0.1227,2.925722,0.9765,0.07550397,0.9705,0.10742769,0.99623334,0.010374637,0.9875,0.05607929,0.9856667,0.04304313,0.9791,0.076144144,0.9979333,0.006264423,0.989,0.045276005,0.9995,0.0019654788,0.99,0.034690402,0.99985,0.00052791234,0.9924,0.033059552,1.0,8.451876e-05,0.9927,0.026292017,1.0,7.015761e-05,0.9929,0.027484618,1.0,2.9762787e-05,0.993,0.026126487,1.0,3.0655978e-05,0.9932,0.025989752
0.45000002,1.0,2.9428029e-05,0.9933,0.026051676,0.10041667,3.2139125,0.1025,3.2044687,0.9729667,0.08884974,0.9673,0.11922739,0.9952667,0.013354109,0.987,0.058684647,0.9834333,0.051181067,0.9766,0.083342895,0.99738336,0.007920694,0.9885,0.047189426,0.99938333,0.0023113869,0.9896,0.035550535,0.99983335,0.0005904866,0.992,0.033311434,1.0,8.808268e-05,0.9928,0.026350128,1.0,7.052354e-05,0.9927,0.02744074,1.0,2.9426465e-05,0.9933,0.026054997,1.0,3.1415977e-05,0.9931,0.026292894
