alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses
0.0,1.0,3.6677455e-05,0.9909,0.04183433,1.0,3.667746e-05,0.9909,0.04183433,1.0,3.667746e-05,0.9909,0.041834325,1.0,3.4761764e-05,0.9909,0.04163975
0.05,1.0,3.3621993e-05,0.9911,0.04074261,0.9997333,0.0013917633,0.9888,0.04121284,1.0,8.608063e-05,0.9903,0.039667547,1.0,4.2321342e-05,0.9911,0.041436978
0.1,1.0,3.1103078e-05,0.9911,0.039730377,0.9737833,0.06833811,0.9634,0.112050824,0.99975,0.00086300896,0.9897,0.04205611,0.9999667,8.655672e-05,0.9906,0.042213265
0.15,1.0,2.9032693e-05,0.991,0.03879689,0.85108334,0.49092928,0.8412,0.5272056,0.998,0.0061186412,0.9872,0.05076489,0.99988335,0.00031927665,0.9903,0.04456055
0.2,1.0,2.7341335e-05,0.9911,0.037941687,0.7079167,1.1132015,0.7087,1.1336733,0.9924833,0.022930913,0.9813,0.07003254,0.9995,0.0013423865,0.9896,0.04840422
0.25,1.0,2.597267e-05,0.9912,0.037164457,0.44578335,1.7946941,0.4489,1.798996,0.9831167,0.05682078,0.972,0.10442623,0.99868333,0.0039839246,0.9889,0.05426309
0.3,1.0,2.488231e-05,0.9914,0.036465045,0.17993334,2.3131201,0.185,2.3130493,0.97001666,0.106791645,0.9617,0.15165186,0.99728334,0.0091361655,0.9877,0.06202386
0.35,1.0,2.4034645e-05,0.9913,0.03584372,0.0985,2.5561879,0.0982,2.5545878,0.95711666,0.16228297,0.9497,0.20262541,0.99545,0.01652242,0.9863,0.07076626
0.4,1.0,2.3402017e-05,0.9914,0.035301767,0.09751666,2.623918,0.0974,2.6206243,0.94701666,0.21050358,0.9409,0.24724926,0.99385,0.024622058,0.9854,0.0789506
0.45000002,1.0,2.2963362e-05,0.9913,0.03484194,0.09751666,2.6192062,0.0974,2.6142762,0.94083333,0.24219602,0.9349,0.2766415,0.9927,0.031116566,0.9844,0.08475752
0.5,1.0,2.2703756e-05,0.9916,0.034468178,0.09751666,2.596006,0.0974,2.589878,0.93915,0.25147423,0.9331,0.28476828,0.99226665,0.03388689,0.9839,0.08672688
0.55,1.0,2.2613393e-05,0.9915,0.034184724,0.09751666,2.5544531,0.0974,2.547082,0.94135,0.23690557,0.936,0.27009276,0.9923667,0.032348584,0.9844,0.084505826
0.6,1.0,2.2687564e-05,0.9917,0.03399513,0.09751666,2.4785526,0.0974,2.4696293,0.94778335,0.20151533,0.942,0.23552068,0.99335,0.02643724,0.985,0.0796397
0.65,1.0,2.2927521e-05,0.9917,0.03390149,0.10575,2.3292181,0.1068,2.3185606,0.9585,0.15238322,0.9522,0.18835057,0.99506664,0.01850134,0.9863,0.0721713
0.7,1.0,2.3338767e-05,0.9916,0.03390477,0.2146,2.0231814,0.2207,2.0101774,0.9713333,0.099253856,0.9636,0.13825615,0.99675,0.010786613,0.9876,0.0633873
0.75,1.0,2.3933817e-05,0.9913,0.03400577,0.5139,1.4958476,0.5273,1.4879555,0.9833,0.052749306,0.9748,0.09528703,0.9982833,0.004897663,0.9883,0.054995954
0.8,1.0,2.4732017e-05,0.9912,0.03420582,0.74163336,0.8810911,0.7363,0.89319336,0.99255,0.021095255,0.9821,0.06554954,0.99943334,0.0015862134,0.9895,0.048586015
0.85,1.0,2.5761196e-05,0.9911,0.034506883,0.87528336,0.32669464,0.8677,0.35206497,0.9981,0.005448718,0.9868,0.047408383,0.99985,0.00038436046,0.99,0.04317225
0.9,1.0,2.7060218e-05,0.9911,0.034911558,0.98838335,0.03453011,0.9772,0.0741884,0.99981666,0.0008517131,0.9898,0.037237547,0.9999667,0.00010227456,0.9907,0.039310176
0.95,1.0,2.8682372e-05,0.9908,0.035422325,0.99986666,0.00091253524,0.9899,0.034572076,0.9999667,0.00012581874,0.9908,0.03410204,1.0,4.1473082e-05,0.9909,0.03716485
1.0,1.0,3.0698808e-05,0.9909,0.036039956,1.0,3.0698815e-05,0.9909,0.036039956,1.0,3.0696952e-05,0.9909,0.036039256,1.0,2.9561224e-05,0.9907,0.036438137
