alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses
0.0,1.0,3.4450026e-05,0.9919,0.03590541,1.0,3.4450022e-05,0.9919,0.035905406,1.0,3.4450022e-05,0.9919,0.035905406,1.0,3.3983102e-05,0.9918,0.03554182,1.0,3.4448614e-05,0.9919,0.035909932,1.0,3.3970366e-05,0.9918,0.035586808,1.0,3.4466346e-05,0.9918,0.035907976,1.0,3.4188524e-05,0.992,0.035518877,1.0,3.4432433e-05,0.9919,0.03590722,1.0,3.4276414e-05,0.9918,0.035628542
0.05,1.0,3.2274686e-05,0.9919,0.035029724,0.99975,0.0012511252,0.9909,0.03341594,0.9999833,8.7092114e-05,0.9915,0.034246612,1.0,4.2631265e-05,0.9917,0.036427315,1.0,6.6941444e-05,0.9914,0.034331992,1.0,4.0224808e-05,0.992,0.03633106,1.0,5.5632652e-05,0.9917,0.034720156,1.0,3.9202318e-05,0.9918,0.036557373,1.0,4.2271367e-05,0.9918,0.035073217,1.0,3.8026184e-05,0.9921,0.035922892
0.1,1.0,3.0505207e-05,0.9923,0.03425888,0.97603333,0.06491625,0.9669,0.10019279,0.99965,0.0009798482,0.991,0.03649856,0.9999667,9.083944e-05,0.9918,0.038861543,0.9999,0.0004390886,0.9912,0.03558798,0.9999833,7.0872804e-05,0.992,0.03828556,0.99995,0.00021124155,0.9921,0.03545986,0.9999833,6.4501684e-05,0.9921,0.03846549,1.0,6.9603455e-05,0.9922,0.035110258,1.0,5.086657e-05,0.9924,0.03680085
0.15,1.0,2.905975e-05,0.9926,0.033592813,0.8527,0.47500572,0.8442,0.49894822,0.99771667,0.0068937493,0.9882,0.043951392,0.9999167,0.00033025222,0.9916,0.042552445,0.9989,0.003014562,0.9898,0.03968329,0.99993336,0.00020057372,0.9912,0.041509204,0.9995833,0.0012931207,0.9911,0.03787178,0.99995,0.00015665678,0.9916,0.041179825,0.9999667,0.00014960024,0.9916,0.035876922,0.9999833,7.57513e-05,0.9924,0.03812951
0.2,1.0,2.7878223e-05,0.9929,0.03303132,0.74193335,0.970284,0.7408,0.97837055,0.9926,0.023471266,0.9842,0.06038822,0.99946666,0.0014522937,0.9912,0.047305122,0.99655,0.0106836315,0.988,0.04727904,0.9996833,0.00080817344,0.9909,0.04586858,0.99813336,0.0052015944,0.9893,0.042262442,0.99981666,0.00052664086,0.9909,0.04469997,0.99993336,0.00039636227,0.9916,0.03715584,0.9999833,0.00012634466,0.9919,0.03985093
0.25,1.0,2.6916901e-05,0.9927,0.032574397,0.51821667,1.5058292,0.5278,1.4971688,0.9834833,0.05544434,0.9752,0.09001596,0.9982333,0.0048191464,0.9897,0.05353442,0.99238336,0.025046762,0.9831,0.06037693,0.99913335,0.00261212,0.9903,0.05093089,0.99558336,0.013496017,0.9875,0.049496926,0.99941665,0.0016332179,0.9906,0.048766505,0.99965,0.0010365379,0.9915,0.038737126,0.99993336,0.00022541142,0.9915,0.04165272
0.3,1.0,2.6142778e-05,0.9926,0.032222304,0.29798332,1.9448799,0.3038,1.9353077,0.97105,0.10388757,0.9646,0.13523275,0.99661666,0.011232575,0.9884,0.06147633,0.9863667,0.04630804,0.9784,0.07937962,0.9978833,0.006381135,0.9898,0.05694848,0.992,0.026084999,0.9834,0.06067936,0.99866664,0.0038823283,0.9896,0.05323353,0.99915,0.0022541094,0.9901,0.040629074,0.99985,0.0004184645,0.9912,0.043476857
0.35,1.0,2.5532707e-05,0.9924,0.031974874,0.18948333,2.2036917,0.1933,2.1965706,0.95631665,0.16379972,0.9492,0.19203533,0.9947,0.02001921,0.9875,0.06981196,0.97925,0.07296226,0.973,0.10249172,0.99633336,0.011807459,0.9884,0.0628521,0.988,0.04175786,0.9802,0.07447713,0.9975333,0.007348391,0.989,0.05755752,0.9986167,0.0039807213,0.9893,0.042666007,0.99976665,0.00069021573,0.9909,0.045168567
0.4,1.0,2.5070329e-05,0.9925,0.031830564,0.1272,2.3275416,0.1301,2.3222659,0.94163334,0.22653383,0.9358,0.2522966,0.99315,0.028899068,0.9864,0.077389136,0.9722,0.100876406,0.9666,0.12782972,0.9949833,0.017453792,0.9879,0.067892395,0.9833,0.058359683,0.9762,0.089238025,0.99656665,0.01120645,0.9887,0.061586853,0.9977,0.005850533,0.989,0.044602763,0.9996333,0.0010260375,0.9906,0.04651798
0.45000002,1.0,2.4744451e-05,0.9925,0.03178594,0.10908333,2.3760996,0.1101,2.3713949,0.9285,0.2812939,0.9238,0.3052271,0.9918333,0.035707477,0.9859,0.082804576,0.9661667,0.12480727,0.9612,0.15037277,0.9942667,0.021911224,0.9878,0.07122939,0.97976667,0.07263279,0.9732,0.10239203,0.99595,0.014148508,0.9878,0.06432902,0.99736667,0.0073399553,0.9886,0.046205625,0.99953336,0.0013022505,0.9904,0.047234632
0.5,1.0,2.4548533e-05,0.9925,0.031836487,0.100266665,2.3917642,0.1002,2.3868718,0.9196333,0.31606743,0.9157,0.3398739,0.99128336,0.038592674,0.9856,0.08514114,0.96225,0.13951483,0.9572,0.1648799,0.99395,0.02353139,0.9872,0.07265937,0.9777167,0.08121338,0.9716,0.11102351,0.9956333,0.0151824895,0.9876,0.065559,0.9970833,0.008025057,0.9884,0.04714625,0.99948335,0.001393405,0.9904,0.047326725
0.55,1.0,2.4480873e-05,0.9927,0.031978298,0.09808333,2.3889596,0.0979,2.3836114,0.91828334,0.3211186,0.9139,0.34659454,0.99156666,0.0363974,0.9854,0.08401409,0.96183336,0.14074025,0.9564,0.16732381,0.99413335,0.022264598,0.9872,0.07164262,0.97728336,0.0815302,0.9709,0.11256538,0.9957167,0.014292848,0.9878,0.064775795,0.99721664,0.007677996,0.9887,0.047146592,0.9995,0.001290198,0.9904,0.04706546
0.6,1.0,2.4543815e-05,0.9928,0.032209594,0.1002,2.3651035,0.0993,2.3588052,0.9246,0.29253635,0.9198,0.32102934,0.9927667,0.029864836,0.9858,0.07963131,0.9650667,0.1272824,0.9588,0.15655524,0.99508333,0.017966606,0.987,0.068130635,0.9792333,0.073000796,0.9725,0.106342964,0.9964167,0.011446353,0.9881,0.062217128,0.99775,0.00638593,0.9886,0.046167575,0.9996833,0.0010336164,0.9913,0.04626069
0.65,1.0,2.4743662e-05,0.9927,0.03253145,0.11388333,2.3004646,0.1139,2.2934992,0.93725,0.23440093,0.9318,0.26666024,0.9945833,0.020588038,0.986,0.07247185,0.97113335,0.10161828,0.9644,0.13481657,0.99625,0.012341725,0.9876,0.063135214,0.98315,0.057449058,0.9762,0.09406598,0.9975167,0.007570244,0.9887,0.058178104,0.9984,0.0045483573,0.9887,0.044251613,0.99971664,0.0007031725,0.9915,0.045030147
0.7,1.0,2.509186e-05,0.9925,0.0329479,0.16158333,2.1690001,0.1608,2.1624215,0.95593333,0.16006158,0.9482,0.19660848,0.9965,0.01142098,0.9878,0.06375466,0.9795333,0.069782384,0.9721,0.10761737,0.99775,0.006861245,0.9889,0.05709627,0.98825,0.038613345,0.9795,0.07842228,0.9986167,0.0040615,0.9896,0.05343509,0.99901664,0.00267018,0.9896,0.041828103,0.99988335,0.00040434458,0.9916,0.04347114
