alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.2_train_accs,partial_merging_1.2_train_losses,partial_merging_1.2_test_accs,partial_merging_1.2_test_losses,partial_merging_REPAIR_1.2_train_accs,partial_merging_REPAIR_1.2_train_losses,partial_merging_REPAIR_1.2_test_accs,partial_merging_REPAIR_1.2_test_losses,partial_merging_1.3_train_accs,partial_merging_1.3_train_losses,partial_merging_1.3_test_accs,partial_merging_1.3_test_losses,partial_merging_REPAIR_1.3_train_accs,partial_merging_REPAIR_1.3_train_losses,partial_merging_REPAIR_1.3_test_accs,partial_merging_REPAIR_1.3_test_losses
0.0,0.9999727,0.00026250907,0.9716503,0.13131039,0.9999727,0.00026250992,0.9716503,0.13131179,0.9999727,0.00026250992,0.9716503,0.13131179,0.9999727,0.00026557143,0.9716503,0.13124925,0.9999727,0.00026251172,0.9716503,0.13131177,0.9999727,0.00026573197,0.9716887,0.13117449,0.9999727,0.0002625117,0.9716503,0.13131171,0.9999727,0.0002663174,0.97161186,0.13121052,0.9999727,0.00026251166,0.9716503,0.13131171,0.9999727,0.00026600898,0.9716887,0.131198
0.05,0.9999727,0.00024930484,0.97214967,0.12896033,0.9998362,0.002127181,0.96996003,0.12094918,0.99993175,0.00090574054,0.9714582,0.123081,0.9999727,0.00028943032,0.9717655,0.13126013,0.9999727,0.0007104174,0.9715735,0.12410874,0.9999727,0.00028213314,0.971996,0.13117757,0.9999727,0.0005582762,0.9716503,0.12443556,0.9999727,0.0002778002,0.9720344,0.1309724,0.9999727,0.00048250795,0.97195756,0.12511867,0.9999727,0.000278166,0.97195756,0.13076092
0.1,0.9999727,0.00023814774,0.97272587,0.1268585,0.9916459,0.035441462,0.9620467,0.13687895,0.99841654,0.007884601,0.9689997,0.121703744,0.9999727,0.0003394022,0.9714198,0.13211271,0.99914,0.005156199,0.96949905,0.12295648,0.9999727,0.0003183483,0.97195756,0.13157566,0.9995768,0.0027620988,0.9701137,0.12179701,0.9999727,0.00030475078,0.97207284,0.13107872,0.99982256,0.0017250567,0.97103566,0.12246672,0.9999727,0.0003058002,0.971996,0.13058579
0.15,0.9999727,0.00022877453,0.97311,0.12500268,0.93746674,0.22105157,0.92766595,0.25775394,0.99048555,0.041509725,0.96342963,0.13657758,0.9999727,0.00045780023,0.97130454,0.1339146,0.9936388,0.027818047,0.96385217,0.13351494,0.9999727,0.0004121687,0.9715735,0.13258284,0.9974474,0.012946784,0.967732,0.12508239,0.9999727,0.00037566107,0.97207284,0.13161348,0.99866223,0.0073333285,0.96869236,0.12365443,0.9999727,0.00037280467,0.972457,0.13085614
0.2,0.9999727,0.00022097483,0.9734557,0.12339072,0.7667117,0.7689334,0.77804244,0.7262389,0.96149176,0.14318474,0.9470267,0.19692747,0.99993175,0.0008229122,0.9698064,0.1366358,0.971716,0.09810696,0.9520974,0.17228483,0.99995905,0.0007013516,0.97084355,0.13407625,0.9896392,0.043969348,0.9609711,0.1408746,0.9999727,0.0005856918,0.97195756,0.13238674,0.99490833,0.02414151,0.9649662,0.1317547,0.99995905,0.00055889285,0.9720344,0.13164589
0.25,0.9999727,0.00021458042,0.97372466,0.12202042,0.3621224,1.7693881,0.39074984,1.6768824,0.89579153,0.3702733,0.90415645,0.36614424,0.9995495,0.0021492287,0.9684235,0.14079827,0.9241711,0.24908955,0.9239014,0.27291915,0.99961776,0.0017675922,0.9696143,0.13669384,0.96949095,0.112240866,0.9499846,0.18065862,0.9997816,0.0013352861,0.9706515,0.13402112,0.98505265,0.06110989,0.95835894,0.151754,0.99976796,0.0011425542,0.9716887,0.13325046
0.3,0.9999727,0.00020946219,0.9739167,0.12088914,0.1992028,2.583272,0.20974186,2.504968,0.762794,0.7724538,0.7921404,0.7183603,0.99810255,0.006714561,0.9663875,0.14751835,0.8413121,0.50788933,0.85709894,0.4822236,0.9982937,0.0053726574,0.96800095,0.14068782,0.93520075,0.22824316,0.9293178,0.26012763,0.9988533,0.0038361456,0.969768,0.13688822,0.9666926,0.12400052,0.9469499,0.18983625,0.9992083,0.0028603405,0.9706515,0.1356403
0.35,0.9999727,0.00020551839,0.97422403,0.119993225,0.1892106,2.7025461,0.1958743,2.6469693,0.5389656,1.2603781,0.57663643,1.1895583,0.994649,0.018729385,0.96354485,0.15709636,0.7094339,0.855458,0.7338276,0.8000988,0.9958229,0.014596145,0.9657345,0.14723732,0.8888707,0.39129388,0.89585894,0.39038837,0.9969696,0.010267465,0.9680778,0.1418095,0.9416438,0.21067803,0.9331976,0.2494825,0.9977886,0.0069775092,0.9690381,0.13944264
0.4,0.9999727,0.00020267596,0.97422403,0.119328015,0.1892106,2.5560546,0.1958743,2.5098305,0.3707632,1.6392417,0.3892901,1.5788733,0.9883697,0.042466246,0.9590504,0.17001107,0.5544863,1.1840748,0.58090043,1.1229949,0.9913046,0.03204108,0.96239245,0.1569542,0.83436394,0.5764385,0.8496082,0.5545606,0.99396646,0.022157034,0.965965,0.14889632,0.91375566,0.30770758,0.91391367,0.32365477,0.99589115,0.014263743,0.96780884,0.14418937
0.45000002,0.9999727,0.00020088583,0.97418565,0.118888244,0.1892106,2.4424784,0.1958743,2.4049425,0.3099772,1.8352056,0.33220652,1.7862744,0.9802203,0.072984934,0.9532499,0.18268745,0.45759448,1.3866076,0.4770667,1.3317758,0.9854485,0.05338255,0.958551,0.16862279,0.7835019,0.72708017,0.80120623,0.69598424,0.9901716,0.03654127,0.9625461,0.1563902,0.8894713,0.38806814,0.896051,0.38951892,0.99385726,0.022530597,0.96588814,0.1484904
