alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.99838924,0.0075820466,0.9555547,0.21080549,0.99838924,0.007582048,0.9555547,0.2108078,0.99838924,0.007582048,0.9555547,0.2108078,0.99838924,0.0075819315,0.9555547,0.21104613,0.99838924,0.0075810556,0.9555547,0.21081513,0.99838924,0.007582676,0.9555547,0.21108697,0.99838924,0.007580487,0.9555547,0.21081474,0.99838924,0.0075900517,0.95563155,0.21087967,0.99838924,0.0075811446,0.9555547,0.2108151,0.9983756,0.0076026274,0.95566994,0.21104628,0.99838924,0.0075806202,0.9555547,0.2108139,0.9983756,0.0075958516,0.9554779,0.2108793
0.05,0.99852574,0.006818117,0.9568608,0.20497666,0.9978978,0.017056152,0.95520896,0.16940093,0.99810255,0.01242484,0.9560925,0.17897394,0.99815714,0.008876197,0.9564766,0.20226304,0.99812984,0.012174317,0.95620775,0.17968772,0.99815714,0.008861145,0.95655346,0.20240374,0.99825275,0.009831921,0.95620775,0.19146357,0.9982664,0.008679278,0.95643824,0.20046082,0.9983483,0.00829543,0.95666873,0.20158975,0.99841654,0.008661965,0.9561309,0.19764315,0.9985121,0.0068185227,0.9568224,0.2049812,0.99838924,0.008632632,0.9555547,0.19633646
0.1,0.9987305,0.006192434,0.95847416,0.19988026,0.99564546,0.05435162,0.95298094,0.17290452,0.99679214,0.02531637,0.95597726,0.16459061,0.9975702,0.011608273,0.9566303,0.1957002,0.99684674,0.02400355,0.95590043,0.1649068,0.99766576,0.011532796,0.95666873,0.19549176,0.99761117,0.013998644,0.9565919,0.17766257,0.9978705,0.010949018,0.9563998,0.1921105,0.9981845,0.009520035,0.95736015,0.1944493,0.99825275,0.010773061,0.9565151,0.1874018,0.99871683,0.006192772,0.9585126,0.19986744,0.9984029,0.010134923,0.95586205,0.18351029
0.15,0.998826,0.0056800996,0.9595498,0.19549063,0.9876462,0.17348221,0.9467194,0.27055466,0.9936388,0.05331844,0.9534419,0.1704002,0.9958502,0.016678086,0.95601565,0.1914692,0.9939528,0.048858717,0.9541718,0.16814747,0.9960277,0.016435467,0.9562846,0.19101413,0.9964099,0.020709626,0.95620775,0.16881363,0.99692863,0.014868207,0.9560541,0.18630436,0.99780226,0.011217277,0.95812845,0.18917817,0.99774766,0.014428571,0.95601565,0.18031935,0.998826,0.0056798737,0.9595498,0.19549334,0.9984575,0.012084479,0.9563614,0.1727385
0.2,0.9989353,0.0052613313,0.96027964,0.19178106,0.95984,0.4751051,0.9283574,0.5706495,0.98726404,0.10478582,0.94971573,0.20294744,0.99283344,0.025418082,0.9547864,0.18998215,0.98787826,0.093042254,0.9505224,0.19402112,0.9930245,0.024901789,0.95543945,0.18897212,0.9945125,0.03026096,0.95566994,0.16436322,0.9952633,0.02127399,0.95590043,0.18321313,0.9973381,0.013291828,0.9582821,0.18536063,0.9964372,0.020505,0.95543945,0.17661616,0.9989353,0.0052611106,0.96027964,0.1917976,0.998594,0.014577897,0.9572833,0.1640516
0.25,0.99897623,0.004920682,0.96081746,0.18872346,0.8844889,1.0117761,0.8644361,1.1077886,0.9759477,0.1858866,0.94360787,0.27012393,0.9879193,0.039129544,0.95340353,0.19029313,0.97773594,0.16092403,0.94410723,0.24821624,0.98838335,0.03790401,0.95405656,0.18870315,0.99202806,0.042388365,0.9548248,0.16382104,0.9918506,0.031597707,0.9549401,0.18293278,0.9967512,0.015593282,0.95812845,0.18262507,0.99396646,0.029910134,0.9541334,0.17652956,0.99897623,0.0049210717,0.96085584,0.18872692,0.99871683,0.017606955,0.9582821,0.15726991
0.3,0.9990035,0.00464641,0.961701,0.18629171,0.67497987,1.5971233,0.6382529,1.6620994,0.9600721,0.29575223,0.93358177,0.37264863,0.9813943,0.057814326,0.9512139,0.19361795,0.96521837,0.25120816,0.93630916,0.33088842,0.9821178,0.055828497,0.9523279,0.19083929,0.98864275,0.056071483,0.9539029,0.1662934,0.98689544,0.046013065,0.95240474,0.18527341,0.9961096,0.017913627,0.95801324,0.18075196,0.9896529,0.043999203,0.95213586,0.18044946,0.9990035,0.004646824,0.961701,0.18628988,0.998826,0.020861175,0.95916563,0.15259154
0.35,0.9990445,0.0044297627,0.9617778,0.18446375,0.287249,1.9922099,0.25303474,2.0193841,0.9400876,0.4214315,0.9197142,0.4960783,0.9739274,0.08052191,0.94902426,0.19927913,0.94915164,0.35372663,0.9252458,0.430654,0.9758658,0.076599844,0.9499078,0.19533148,0.9853939,0.06965309,0.95271206,0.17050949,0.98103935,0.06361096,0.95002306,0.18975909,0.9953588,0.019972295,0.9577443,0.17951374,0.98353744,0.062238164,0.94979256,0.18819934,0.9990445,0.0044305236,0.9617778,0.1844445,0.998908,0.024082053,0.96051013,0.14949983
0.4,0.9990718,0.004264311,0.9621235,0.18321908,0.18922424,2.1792548,0.1958743,2.1844602,0.91998035,0.53853893,0.902543,0.612708,0.96717036,0.102888584,0.94622004,0.20605226,0.9328528,0.44908553,0.91260755,0.52542126,0.9687811,0.097304344,0.9477182,0.20057689,0.98269105,0.08104141,0.9510986,0.17523149,0.9749239,0.08162763,0.94787186,0.19576807,0.99479914,0.021492718,0.9570529,0.17873697,0.9758931,0.082250975,0.94598955,0.1973501,0.9990718,0.0042643193,0.9621235,0.18322557,0.9990172,0.0268121,0.9615089,0.14771022
0.45000002,0.9990991,0.004145476,0.9619699,0.18254168,0.1892106,2.2478685,0.1958743,2.244432,0.9039409,0.6203732,0.88856024,0.69422466,0.96157366,0.1201091,0.9444914,0.21186842,0.9206083,0.5154471,0.9033113,0.5917296,0.96375775,0.11315473,0.94595116,0.2053266,0.98103935,0.08834587,0.95048404,0.17898013,0.9705421,0.09521069,0.94487554,0.20113786,0.9946217,0.022293953,0.9562846,0.17822808,0.9701462,0.09835032,0.94249386,0.2052421,0.9990991,0.0041451827,0.9619699,0.18254647,0.9990718,0.0284312,0.961701,0.14663197
