alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses,partial_merging_1.1_train_accs,partial_merging_1.1_train_losses,partial_merging_1.1_test_accs,partial_merging_1.1_test_losses,partial_merging_REPAIR_1.1_train_accs,partial_merging_REPAIR_1.1_train_losses,partial_merging_REPAIR_1.1_test_accs,partial_merging_REPAIR_1.1_test_losses,partial_merging_1.5_train_accs,partial_merging_1.5_train_losses,partial_merging_1.5_test_accs,partial_merging_1.5_test_losses,partial_merging_REPAIR_1.5_train_accs,partial_merging_REPAIR_1.5_train_losses,partial_merging_REPAIR_1.5_test_accs,partial_merging_REPAIR_1.5_test_losses,partial_merging_1.8_train_accs,partial_merging_1.8_train_losses,partial_merging_1.8_test_accs,partial_merging_1.8_test_losses,partial_merging_REPAIR_1.8_train_accs,partial_merging_REPAIR_1.8_train_losses,partial_merging_REPAIR_1.8_test_accs,partial_merging_REPAIR_1.8_test_losses,partial_merging_2.0_train_accs,partial_merging_2.0_train_losses,partial_merging_2.0_test_accs,partial_merging_2.0_test_losses,partial_merging_REPAIR_2.0_train_accs,partial_merging_REPAIR_2.0_train_losses,partial_merging_REPAIR_2.0_test_accs,partial_merging_REPAIR_2.0_test_losses
0.0,0.99993175,0.0009955872,0.96542716,0.14661148,0.99993175,0.0009955842,0.96542716,0.14661282,0.99993175,0.0009955842,0.96542716,0.14661282,0.99993175,0.0009927372,0.9653888,0.14679094,0.99993175,0.0009956636,0.96542716,0.1466137,0.99993175,0.0009910307,0.9653888,0.14677829,0.99993175,0.0009956663,0.96542716,0.14661148,0.99993175,0.0009938729,0.9653888,0.14680566,0.99993175,0.0009955432,0.96542716,0.14661022,0.99993175,0.0009904953,0.9653888,0.14676851,0.99993175,0.0009955899,0.96542716,0.14661285,0.99993175,0.00099371,0.96535033,0.14677332
0.05,0.99993175,0.00092414184,0.965965,0.14359418,0.99976796,0.0026475468,0.96508145,0.13753475,0.99984986,0.0014942795,0.9654656,0.14227936,0.99993175,0.0011196405,0.96508145,0.1462958,0.9998908,0.0014068112,0.9655808,0.14196654,0.9999181,0.0011460237,0.96554244,0.14527132,0.99990445,0.001607019,0.966157,0.1374234,0.99990445,0.0013824843,0.9658497,0.14161736,0.9999181,0.0019499339,0.9657345,0.13503492,0.9999454,0.001645015,0.9654656,0.13970871,0.99993175,0.0022392583,0.9658113,0.13441323,0.99993175,0.0019456886,0.96531194,0.13797912
0.1,0.99993175,0.00086514483,0.96677166,0.14091545,0.9969969,0.01775927,0.96104795,0.13980134,0.9984302,0.0053476566,0.96488935,0.13880993,0.9998635,0.0013942315,0.9651583,0.14634307,0.9988943,0.004489248,0.9648125,0.13815616,0.99990445,0.0014739566,0.96569604,0.14445162,0.9994403,0.0044205715,0.96577287,0.13061401,0.9999181,0.0020138712,0.96569604,0.13777664,0.9996314,0.005460572,0.96531194,0.12792447,0.9999181,0.0028009843,0.9652735,0.1344324,0.99976796,0.0063451272,0.96488935,0.12821308,0.99993175,0.0040274104,0.9654656,0.13177758
0.15,0.99993175,0.0008168972,0.9674247,0.13857001,0.9861037,0.08509419,0.94979256,0.18292533,0.9967785,0.016678212,0.96331435,0.13854332,0.99979526,0.0020148717,0.96419793,0.14742327,0.9970924,0.014754426,0.96296865,0.13789885,0.9997816,0.002202192,0.96542716,0.1446468,0.99769306,0.01489473,0.9644284,0.13052619,0.99987715,0.003105556,0.96561927,0.13551854,0.9979524,0.019106267,0.9630071,0.1322777,0.9998908,0.0047837743,0.9649662,0.13111117,0.99844384,0.020971522,0.9636985,0.13629405,0.99993175,0.008476041,0.9653888,0.12950228
0.2,0.9999454,0.000778028,0.9678473,0.13655244,0.95024365,0.30585134,0.9239782,0.37145096,0.9938163,0.038475886,0.9603181,0.14605172,0.99929017,0.003490111,0.96373695,0.14954706,0.99396646,0.03629616,0.96047175,0.14559983,0.9992219,0.0038168589,0.96427476,0.14588696,0.9952496,0.044799063,0.96070224,0.1481361,0.99953586,0.0050159656,0.96488935,0.13499509,0.99564546,0.06679316,0.9598955,0.17056943,0.9998635,0.008039253,0.96485096,0.13019581,0.9967239,0.07269038,0.95912725,0.18546289,0.99993175,0.016838571,0.96542716,0.13296863
0.25,0.9999454,0.0007473775,0.9680778,0.13485707,0.86289364,0.8310893,0.84853256,0.87945014,0.98737323,0.075616375,0.95532423,0.16658041,0.9982118,0.0067153764,0.9623156,0.15265886,0.986718,0.07489068,0.9543639,0.16744448,0.99788415,0.007164527,0.9638138,0.14813139,0.98781,0.11862432,0.95486325,0.20798817,0.9988124,0.008444649,0.96431315,0.13658655,0.9853393,0.21309513,0.95036876,0.30955735,0.999727,0.013121496,0.9646205,0.13204448,0.9895437,0.23837502,0.9484865,0.35311252,0.99993175,0.029181086,0.965965,0.14126685
0.3,0.9999454,0.00072394544,0.9682698,0.1334785,0.70193976,1.5361762,0.6764367,1.571021,0.9757566,0.13085264,0.9480255,0.20526132,0.9963553,0.0126835145,0.9612016,0.15705355,0.9738455,0.1349483,0.946681,0.21016186,0.9964645,0.013092008,0.962354,0.15144868,0.966597,0.2714691,0.9380762,0.3504359,0.99735177,0.01431721,0.9624693,0.1399514,0.9519363,0.5694633,0.92278737,0.6654748,0.99926287,0.020484628,0.96427476,0.13647956,0.9601813,0.65262824,0.91606486,0.7642841,0.99993175,0.044852227,0.96665645,0.15410295
0.35,0.99995905,0.00070689165,0.9689997,0.13241175,0.35214382,2.0294347,0.3262523,2.0456076,0.96134156,0.20044318,0.939536,0.26157507,0.993748,0.021779409,0.9600876,0.16176951,0.9570826,0.21359901,0.93461895,0.2747365,0.9940074,0.021868808,0.9615089,0.15547377,0.92189145,0.52309215,0.90104485,0.6019287,0.9950585,0.02336796,0.9605486,0.14520547,0.870497,1.1352168,0.84688073,1.2184488,0.9981435,0.030243957,0.96331435,0.14293197,0.8594673,1.3048452,0.81918406,1.3847069,0.9999454,0.06261048,0.9678473,0.16914123
0.4,0.99995905,0.0006955612,0.9689613,0.13165195,0.19278704,2.2289588,0.19871697,2.2303987,0.9474862,0.27241397,0.9287416,0.32468897,0.99088144,0.03292076,0.958551,0.16628101,0.9398965,0.2973135,0.9229794,0.34941116,0.9912636,0.0323591,0.9603565,0.15928274,0.84720916,0.82534605,0.8218347,0.90823513,0.9919052,0.03460573,0.9590504,0.15079926,0.72461337,1.653619,0.7034803,1.7054361,0.99671024,0.04110917,0.96216196,0.15003042,0.60614,1.8695843,0.56964505,1.9045334,0.99995905,0.07935985,0.9684235,0.1839354
0.45000002,0.99995905,0.000689495,0.96911496,0.13119435,0.1892106,2.275263,0.1958743,2.2724283,0.93666136,0.32803464,0.9208666,0.37514266,0.98797387,0.042798888,0.95782113,0.16952893,0.925932,0.36322343,0.9128765,0.41021666,0.98872465,0.04146621,0.95889676,0.16171487,0.75959975,1.0649608,0.72456974,1.1487354,0.98902494,0.044460382,0.9578596,0.15497847,0.53269994,1.9467055,0.5130224,1.972839,0.9951677,0.05015235,0.96116316,0.1552594,0.27544126,2.1506417,0.2612938,2.158661,0.99995905,0.091607735,0.96892285,0.19489534
